Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2336  1.6450    -5.5112 -0.1064
      1  -1.6617  1.6143    -6.1075 -0.8084
      2  -2.1260  1.7937    -7.1679 -1.1981
      3  -2.6949  2.0999    -8.0561 -1.4128
      4  -4.7886  2.4281    -8.9813 -1.6939
      5  -6.3493  2.0014    -9.1974 -2.6746
      6  -7.2534  1.7575    -5.8716 -3.5997
      7  -7.7103  1.5313    -4.4117 -4.9574
      8  -7.8591  1.2760    -4.2582 -6.1519
      9  -8.1122  1.0986    -3.4837 -6.8164
     10  -8.2818  0.9495    -2.9956 -7.1770
     11  -8.3943  0.8192    -2.7005 -7.4122
     12  -8.4711  0.7143    -2.5060 -7.5546
     13  -8.5380  0.6343    -2.3199 -7.6849
     14  -8.5964  0.5712    -2.1494 -7.7896
     15  -8.6319  0.5250    -2.0515 -7.8743
     16  -8.6448  0.4995    -2.0218 -7.9028
     17  -8.6540  0.4830    -1.9998 -7.9163
     18  -8.6818  0.4604    -1.9141 -7.9611
     19  -8.7081  0.4407    -1.8322 -8.0088

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0921  0.0630     0.0001  0.1888
      1   0.0907  0.0636     0.0001  0.1887
      2   0.0843  0.0648     0.0001  0.1877
      3   0.0697  0.0644     0.0001  0.1845
      4   0.0112  0.0104     0.0000  0.0274
      5   0.0082  0.0053     0.0000  0.0144
      6   0.0083  0.0053     0.0000  0.0146
      7   0.0090  0.0054     0.0001  0.0162
      8   0.0094  0.0052     0.0001  0.0165
      9   0.0100  0.0053     0.0002  0.0176
     10   0.0105  0.0055     0.0004  0.0185
     11   0.0111  0.0057     0.0005  0.0192
     12   0.0117  0.0058     0.0007  0.0197
     13   0.0123  0.0060     0.0008  0.0202
     14   0.0129  0.0061     0.0009  0.0206
     15   0.0135  0.0062     0.0011  0.0214
     16   0.0140  0.0063     0.0012  0.0224
     17   0.0145  0.0063     0.0014  0.0231
     18   0.0150  0.0063     0.0016  0.0239
     19   0.0155  0.0064     0.0019  0.0245

