Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0379  1.4152    -4.1539 -0.2165
      1  -3.0712  0.9390    -4.4273 -2.1584
      2  -2.5830  0.7820    -3.2745 -2.1165
      3  -2.3162  0.7563    -2.8344 -1.9346
      4  -2.4732  0.7208    -2.8949 -2.2200
      5  -2.8550  1.2482    -5.9508 -2.1909
      6  -2.7676  1.3470    -6.3735 -1.9966
      7  -2.6194  1.1631    -5.1829 -2.0781
      8  -3.4180  2.3997    -8.5786 -0.6766
      9  -2.9984  2.1129    -8.1750 -0.8018
     10  -2.6442  1.7590    -7.3869 -0.9220
     11  -2.3941  1.4054    -5.8811 -1.0265
     12  -2.2394  1.1048    -3.5502 -1.0888
     13  -2.2807  0.8912    -3.1434 -1.4878
     14  -2.2722  0.7030    -3.0184 -1.6725
     15  -2.3003  0.5738    -2.9788 -1.8682
     16  -2.2495  0.4683    -2.8437 -1.8654
     17  -2.2861  0.3920    -2.8489 -1.9552
     18  -2.2539  0.3278    -2.7693 -1.9487
     19  -2.1502  0.3790    -2.6354 -1.8559

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0593     0.0026  0.1900
      1   0.1011  0.0600     0.0017  0.1899
      2   0.1039  0.0590     0.0028  0.1903
      3   0.1034  0.0591     0.0029  0.1902
      4   0.1049  0.0585     0.0032  0.1904
      5   0.0494  0.0417     0.0000  0.1283
      6   0.0466  0.0401     0.0000  0.1213
      7   0.0549  0.0421     0.0000  0.1316
      8   0.0066  0.0098     0.0000  0.0242
      9   0.0091  0.0105     0.0000  0.0269
     10   0.0112  0.0107     0.0000  0.0288
     11   0.0128  0.0105     0.0000  0.0302
     12   0.0137  0.0103     0.0001  0.0310
     13   0.0156  0.0107     0.0001  0.0331
     14   0.0168  0.0107     0.0006  0.0339
     15   0.0183  0.0110     0.0010  0.0357
     16   0.0197  0.0111     0.0015  0.0374
     17   0.0212  0.0114     0.0020  0.0393
     18   0.0225  0.0114     0.0027  0.0404
     19   0.0193  0.0097     0.0019  0.0338

