Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6438  2.6215    -8.0380 -0.0431
      1  -2.1374  2.7585    -8.3399 -0.1575
      2  -4.2240  2.7948    -8.9370 -0.4601
      3  -2.9935  2.5084    -8.4101 -0.3366
      4  -2.5568  2.2456    -7.8272 -0.3186
      5  -3.5402  2.1307    -8.2429 -0.8145
      6  -3.3461  1.9401    -7.7795 -0.8941
      7  -3.1593  1.7259    -6.9471 -0.9416
      8  -2.5699  1.4335    -5.2711 -0.7811
      9  -3.0325  1.3150    -5.6216 -1.4739
     10  -2.6948  1.1698    -4.4709 -1.3186
     11  -2.8876  1.0267    -4.4201 -1.8200
     12  -2.7176  0.8780    -3.8663 -1.7564
     13  -2.8170  0.7527    -3.8655 -2.0708
     14  -2.6872  0.6625    -3.5849 -1.9914
     15  -2.4911  0.7770    -3.4031 -1.7063
     16  -2.5411  0.6537    -3.3933 -1.9138
     17  -2.4487  0.5788    -3.2105 -1.8755
     18  -2.4929  0.4938    -3.2243 -2.0081
     19  -2.4311  0.4343    -3.1111 -1.9737

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0681  0.0671     0.0000  0.1848
      1   0.0544  0.0636     0.0000  0.1800
      2   0.0063  0.0078     0.0000  0.0176
      3   0.0077  0.0096     0.0000  0.0233
      4   0.0096  0.0099     0.0000  0.0257
      5   0.0061  0.0054     0.0000  0.0130
      6   0.0073  0.0052     0.0000  0.0134
      7   0.0081  0.0049     0.0000  0.0137
      8   0.0088  0.0052     0.0001  0.0154
      9   0.0087  0.0052     0.0001  0.0153
     10   0.0093  0.0054     0.0001  0.0169
     11   0.0099  0.0057     0.0001  0.0181
     12   0.0107  0.0059     0.0002  0.0192
     13   0.0114  0.0062     0.0004  0.0200
     14   0.0122  0.0064     0.0005  0.0206
     15   0.0106  0.0056     0.0003  0.0186
     16   0.0113  0.0058     0.0005  0.0193
     17   0.0120  0.0060     0.0006  0.0201
     18   0.0128  0.0062     0.0008  0.0206
     19   0.0135  0.0063     0.0010  0.0218

