trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  958 540.00  0.00 800.00  3.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  661 370.00  0.00 800.00 52.00  1
  3  645 360.00  0.00 800.00 156.00  0
  4  608 340.00  0.00 800.00 104.00  1
  5  698 390.00  0.00 800.00 104.00  1
  6  663 370.00  0.00 800.00 156.00  0
  7  698 410.00  0.00 800.00 156.00  1
  8    6  10.00  0.00 800.00  6.44  1
  9  915 510.00  0.00 800.00 156.00  0
 10  590 330.00  0.00 800.00 104.00  1
 11  663 370.00  0.00 800.00 156.00  0
 12  681 380.00  0.00 800.00 156.00  0
 13  626 350.00  0.00 800.00 104.00  1
 14  699 390.00  0.00 800.00 156.00  0
 15  626 340.00  0.00 800.00 156.00  0
 16  644 360.00  0.00 800.00 104.00  1
 17  644 350.00  0.00 800.00 52.00  1
 18  662 370.00  0.00 800.00 104.00  0
 19  662 390.00  0.00 800.00 52.00  1
