Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8957  2.0123    -9.1304 -2.9353
      1  -4.3697  1.1757    -6.2124 -2.7745
      2  -5.2605  0.7505    -6.2984 -4.4995
      3  -4.8531  0.5655    -5.5328 -4.3927
      4  -5.1431  0.4734    -5.7058 -4.8981
      5  -5.2919  0.4545    -5.7850 -5.1228
      6  -5.2469  0.3357    -5.5282 -5.1208
      7  -5.0667  0.6863    -5.6233 -4.6884
      8  -4.9809  0.6414    -5.5014 -4.5999
      9  -4.9566  0.5262    -5.4045 -4.6666
     10  -4.9968  0.3916    -5.3940 -4.8900
     11  -4.9816  0.3257    -5.2615 -4.8849
     12  -4.9892  0.2379    -5.2608 -4.9335
     13  -5.0017  0.1764    -5.2606 -5.0102
     14  -4.9451  0.4192    -5.2633 -4.7633
     15  -4.9728  0.3259    -5.2627 -4.8190
     16  -4.9632  0.2800    -5.2573 -4.8086
     17  -4.8598  0.4766    -5.2553 -4.6558
     18  -4.7792  0.5306    -5.2421 -4.5282
     19  -4.7975  0.4048    -5.2376 -4.6246

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0055  0.1898
      1   0.1012  0.0591     0.0057  0.1898
      2   0.1008  0.0591     0.0057  0.1897
      3   0.1017  0.0586     0.0070  0.1898
      4   0.1030  0.0584     0.0077  0.1901
      5   0.1026  0.0585     0.0075  0.1900
      6   0.1141  0.0555     0.0153  0.1917
      7   0.0536  0.0397     0.0001  0.1282
      8   0.0554  0.0407     0.0004  0.1323
      9   0.0616  0.0418     0.0029  0.1395
     10   0.0682  0.0411     0.0082  0.1441
     11   0.0746  0.0422     0.0110  0.1514
     12   0.0758  0.0416     0.0142  0.1519
     13   0.0807  0.0408     0.0191  0.1551
     14   0.0416  0.0243     0.0049  0.0831
     15   0.0453  0.0243     0.0082  0.0866
     16   0.0478  0.0249     0.0097  0.0900
     17   0.0299  0.0161     0.0027  0.0556
     18   0.0262  0.0144     0.0014  0.0484
     19   0.0277  0.0140     0.0036  0.0495

