Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0622  1.6066    -5.1975 -0.0891
      1  -1.4686  1.5895    -5.8102 -0.6608
      2  -1.6442  1.5745    -5.9890 -0.9557
      3  -2.1109  1.8810    -7.3285 -1.1119
      4  -3.8745  2.5290    -8.7802 -1.1514
      5  -5.4875  2.4005    -9.1046 -1.3108
      6  -5.6544  2.2939    -9.1192 -1.7176
      7  -4.6596  1.9474    -8.2882 -1.5971
      8  -4.6586  1.8347    -8.0691 -1.8089
      9  -3.7872  1.5930    -6.8450 -1.5672
     10  -3.2113  1.4572    -5.9910 -1.3873
     11  -3.6379  1.3158    -6.0697 -1.9219
     12  -3.5794  1.1586    -5.5160 -2.0212
     13  -3.9036  1.0502    -5.7037 -2.5747
     14  -4.3148  1.0706    -6.2154 -3.0313
     15  -4.0860  0.9126    -5.5116 -2.9738
     16  -4.3212  0.8774    -5.7314 -3.3305
     17  -4.1612  0.7694    -5.3189 -3.2681
     18  -4.1516  0.6808    -5.2499 -3.3080
     19  -4.3184  0.6450    -5.4061 -3.5638

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0920  0.0631     0.0000  0.1887
      1   0.0882  0.0636     0.0000  0.1879
      2   0.0890  0.0639     0.0001  0.1882
      3   0.0704  0.0629     0.0000  0.1825
      4   0.0098  0.0120     0.0000  0.0310
      5   0.0048  0.0040     0.0000  0.0073
      6   0.0059  0.0037     0.0000  0.0086
      7   0.0060  0.0037     0.0000  0.0095
      8   0.0067  0.0033     0.0000  0.0100
      9   0.0068  0.0035     0.0000  0.0108
     10   0.0070  0.0036     0.0000  0.0113
     11   0.0070  0.0035     0.0000  0.0111
     12   0.0074  0.0031     0.0001  0.0113
     13   0.0075  0.0032     0.0001  0.0115
     14   0.0071  0.0028     0.0001  0.0100
     15   0.0074  0.0029     0.0001  0.0110
     16   0.0074  0.0029     0.0001  0.0109
     17   0.0077  0.0030     0.0002  0.0116
     18   0.0079  0.0029     0.0003  0.0117
     19   0.0079  0.0029     0.0004  0.0118

