Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.0165  1.9866    -9.1469 -3.0094
      1  -4.3199  1.1408    -5.9695 -2.6534
      2  -3.4797  0.8459    -4.4597 -2.2729
      3  -3.9759  0.5922    -4.5804 -3.6357
      4  -3.8128  0.5154    -4.2147 -3.5349
      5  -3.6664  0.5173    -4.0617 -3.4304
      6  -3.4103  1.0192    -4.3632 -1.9591
      7  -3.0328  1.5230    -6.6956 -0.9845
      8  -3.1945  1.2341    -5.7746 -1.7342
      9  -3.2416  0.9850    -4.3689 -2.3253
     10  -3.0722  1.2422    -5.8774 -1.8496
     11  -2.9683  0.9747    -4.0006 -1.9870
     12  -2.9969  0.7807    -3.8134 -2.3222
     13  -3.0342  0.6393    -3.7500 -2.5145
     14  -2.8957  0.8121    -3.6879 -2.2729
     15  -2.8916  0.6518    -3.6267 -2.4112
     16  -2.8939  0.5300    -3.5947 -2.4742
     17  -2.8319  0.4480    -3.4193 -2.4580
     18  -2.9033  0.4172    -3.4898 -2.6098
     19  -2.8683  0.3487    -3.4049 -2.5990

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1062  0.0584     0.0061  0.1907
      1   0.1042  0.0593     0.0045  0.1905
      2   0.1009  0.0602     0.0038  0.1901
      3   0.1086  0.0586     0.0052  0.1912
      4   0.1119  0.0576     0.0078  0.1917
      5   0.1105  0.0585     0.0063  0.1917
      6   0.0453  0.0412     0.0001  0.1263
      7   0.0137  0.0132     0.0000  0.0366
      8   0.0170  0.0144     0.0000  0.0411
      9   0.0198  0.0148     0.0001  0.0448
     10   0.0135  0.0100     0.0000  0.0287
     11   0.0145  0.0097     0.0001  0.0295
     12   0.0160  0.0098     0.0001  0.0313
     13   0.0175  0.0099     0.0007  0.0328
     14   0.0143  0.0084     0.0001  0.0266
     15   0.0154  0.0083     0.0006  0.0272
     16   0.0162  0.0083     0.0011  0.0277
     17   0.0174  0.0084     0.0015  0.0298
     18   0.0177  0.0085     0.0017  0.0302
     19   0.0186  0.0085     0.0023  0.0313

