trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1369 770.00  0.00 800.00  0.71  1
  1  844 470.00  0.00 800.00 260.00  0
  2  608 340.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  751 420.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  0
  6  804 450.00  0.00 800.00 26.00  0
  7  731 410.00  0.00 800.00 21.50  0
  8  674 380.00  0.00 800.00 10.80  1
  9  639 360.00  0.00 800.00 12.90  1
 10  641 360.00  0.00 800.00 21.50  0
 11 1421 790.00  0.00 800.00 520.00  0
 12  602 340.00  0.00 800.00 10.80  1
 13  639 360.00  0.00 800.00 12.90  1
 14  640 360.00  0.00 800.00 17.20  0
 15  477 270.00  0.00 800.00 12.90  1
 16  495 280.00  0.00 800.00 12.90  1
 17  803 450.00  0.00 800.00 21.50  0
 18  658 370.00  0.00 800.00 17.20  1
 19  803 450.00  0.00 800.00 26.00  0
