Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6615  2.7062    -9.0057 -0.5576
      1  -2.4834  1.5090    -4.8511 -0.3177
      2  -3.5972  0.9050    -4.9544 -2.4615
      3  -4.2522  0.6191    -5.0610 -3.7056
      4  -4.5349  0.5271    -5.1946 -4.2212
      5  -4.3482  0.3730    -4.7828 -4.1351
      6  -4.2071  0.3371    -4.6171 -4.0203
      7  -4.2357  0.2510    -4.6197 -4.2205
      8  -4.2148  0.1838    -4.4729 -4.2205
      9  -4.2130  0.1400    -4.4717 -4.2209
     10  -4.2141  0.1084    -4.4715 -4.2216
     11  -4.2739  0.2568    -4.6990 -4.2214
     12  -4.2316  0.2054    -4.6110 -4.2196
     13  -4.2346  0.1595    -4.6079 -4.2227
     14  -4.2320  0.1288    -4.5926 -4.2231
     15  -4.2345  0.1078    -4.5923 -4.2255
     16  -4.2354  0.0957    -4.5915 -4.2265
     17  -4.2341  0.0875    -4.5825 -4.2265
     18  -4.2328  0.0820    -4.5724 -4.2266
     19  -4.2318  0.0783    -4.5631 -4.2266

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0586     0.0072  0.1899
      1   0.1030  0.0583     0.0079  0.1900
      2   0.1020  0.0585     0.0074  0.1898
      3   0.1018  0.0586     0.0071  0.1898
      4   0.1026  0.0583     0.0076  0.1899
      5   0.1073  0.0569     0.0121  0.1906
      6   0.1070  0.0570     0.0122  0.1906
      7   0.1159  0.0542     0.0201  0.1919
      8   0.1229  0.0514     0.0282  0.1927
      9   0.1239  0.0506     0.0310  0.1928
     10   0.1244  0.0502     0.0326  0.1928
     11   0.0684  0.0399     0.0122  0.1432
     12   0.0742  0.0409     0.0149  0.1502
     13   0.0756  0.0404     0.0173  0.1508
     14   0.0766  0.0401     0.0191  0.1513
     15   0.0779  0.0397     0.0213  0.1520
     16   0.0785  0.0395     0.0223  0.1523
     17   0.0791  0.0393     0.0231  0.1526
     18   0.0796  0.0391     0.0240  0.1529
     19   0.0801  0.0389     0.0248  0.1532

