Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5684  2.4469    -7.8246 -0.0638
      1  -2.4490  2.7113    -8.4264 -0.3826
      2  -4.4906  2.6724    -8.9683 -0.8661
      3  -2.8863  2.0332    -7.6026 -0.6942
      4  -2.1212  1.8496    -7.0090 -0.5673
      5  -1.7046  1.6852    -6.2882 -0.4792
      6  -1.9834  1.6578    -6.5220 -0.8249
      7  -3.4206  2.3877    -8.5591 -0.7560
      8  -3.0082  2.1073    -8.1190 -0.8647
      9  -2.6671  1.7750    -7.2670 -0.9543
     10  -2.4314  1.4586    -5.7411 -1.0217
     11  -2.2876  1.2052    -4.4031 -1.0638
     12  -2.0346  1.0332    -3.4824 -0.9637
     13  -2.1586  0.9124    -3.4821 -1.2623
     14  -1.9785  0.8024    -3.0285 -1.1662
     15  -2.0589  0.6991    -3.0533 -1.3829
     16  -1.9497  0.6019    -2.7946 -1.3484
     17  -1.8136  0.5820    -2.5883 -1.2156
     18  -1.8633  0.4975    -2.5984 -1.3733
     19  -2.0783  0.6430    -2.8911 -1.5048

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0757  0.0659     0.0000  0.1861
      1   0.0560  0.0621     0.0000  0.1797
      2   0.0116  0.0122     0.0000  0.0307
      3   0.0140  0.0148     0.0000  0.0390
      4   0.0176  0.0176     0.0000  0.0480
      5   0.0214  0.0197     0.0000  0.0558
      6   0.0192  0.0171     0.0000  0.0485
      7   0.0046  0.0057     0.0000  0.0127
      8   0.0062  0.0058     0.0000  0.0136
      9   0.0075  0.0057     0.0000  0.0142
     10   0.0084  0.0053     0.0000  0.0152
     11   0.0090  0.0051     0.0001  0.0157
     12   0.0097  0.0053     0.0001  0.0174
     13   0.0103  0.0056     0.0002  0.0184
     14   0.0110  0.0059     0.0004  0.0194
     15   0.0117  0.0061     0.0005  0.0200
     16   0.0125  0.0063     0.0007  0.0206
     17   0.0126  0.0063     0.0007  0.0207
     18   0.0134  0.0065     0.0009  0.0222
     19   0.0106  0.0050     0.0005  0.0176

