Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1922  1.3765    -3.4819 -0.1168
      1  -0.7248  1.3272    -2.7983 -0.0669
      2  -0.4807  1.3608    -2.7992 -0.0385
      3  -0.3615  1.3685    -2.6811 -0.0258
      4  -1.2528  2.3025    -7.4692 -0.0532
      5  -0.7998  1.8153    -5.9383 -0.0484
      6  -0.7986  1.7071    -5.5190 -0.0969
      7  -2.4431  2.7737    -8.4561 -0.1675
      8  -4.5530  2.7461    -8.9921 -0.4583
      9  -4.6114  2.7406    -9.0038 -0.4763
     10  -4.5701  2.7403    -8.9943 -0.4673
     11  -4.6111  2.7418    -9.0044 -0.4757
     12  -4.5705  2.7401    -8.9943 -0.4675
     13  -4.5299  2.7378    -8.9839 -0.4596
     14  -4.5706  2.7399    -8.9942 -0.4676
     15  -4.6107  2.7377    -9.0023 -0.4777
     16  -4.5704  2.7398    -8.9941 -0.4677
     17  -4.5300  2.7414    -8.9857 -0.4579
     18  -4.4895  2.7387    -8.9750 -0.4502
     19  -4.4491  2.7356    -8.9639 -0.4428

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0967  0.0617     0.0001  0.1894
      1   0.0979  0.0609     0.0001  0.1894
      2   0.0994  0.0608     0.0001  0.1897
      3   0.1011  0.0601     0.0001  0.1898
      4   0.0415  0.0420     0.0000  0.1242
      5   0.0472  0.0417     0.0000  0.1289
      6   0.0533  0.0461     0.0000  0.1433
      7   0.0084  0.0110     0.0000  0.0271
      8   0.0001  0.0005     0.0000  0.0001
      9   0.0001  0.0001     0.0000  0.0001
     10   0.0001  0.0001     0.0000  0.0001
     11   0.0001  0.0000     0.0000  0.0001
     12   0.0001  0.0000     0.0000  0.0001
     13   0.0001  0.0000     0.0000  0.0001
     14   0.0001  0.0000     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

