Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6938  2.6857    -9.0087 -0.6331
      1  -2.3808  1.4215    -4.5894 -0.3878
      2  -3.4508  0.8636    -4.6917 -2.4329
      3  -2.7993  0.6202    -3.5065 -2.3189
      4  -2.5216  0.5574    -3.0696 -2.1581
      5  -2.3555  0.5543    -2.8118 -1.9492
      6  -2.1068  0.9409    -2.8145 -0.9733
      7  -1.7816  1.2995    -3.8667 -0.4336
      8  -1.9619  1.0970    -3.0596 -0.9527
      9  -1.8027  1.5234    -5.7057 -0.5030
     10  -1.6159  1.1913    -2.9862 -0.5074
     11  -1.6793  0.9949    -2.6113 -0.8227
     12  -1.7013  0.8098    -2.5138 -1.0671
     13  -1.5559  1.0209    -2.5104 -0.7994
     14  -1.4534  0.8201    -2.2185 -0.7831
     15  -1.4830  0.6760    -2.1849 -0.9396
     16  -1.3582  0.7953    -2.0742 -0.7695
     17  -1.3616  0.6453    -2.0484 -0.8667
     18  -1.2791  0.9519    -2.0717 -0.6105
     19  -1.2101  0.7335    -1.9561 -0.6128

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0071  0.1899
      1   0.1023  0.0585     0.0073  0.1899
      2   0.1016  0.0588     0.0067  0.1898
      3   0.1009  0.0588     0.0064  0.1897
      4   0.1002  0.0587     0.0065  0.1894
      5   0.0988  0.0593     0.0056  0.1893
      6   0.0446  0.0401     0.0001  0.1255
      7   0.0173  0.0146     0.0001  0.0427
      8   0.0211  0.0163     0.0001  0.0492
      9   0.0118  0.0087     0.0000  0.0253
     10   0.0127  0.0084     0.0001  0.0258
     11   0.0142  0.0089     0.0001  0.0274
     12   0.0156  0.0090     0.0005  0.0292
     13   0.0127  0.0075     0.0001  0.0238
     14   0.0136  0.0075     0.0005  0.0248
     15   0.0147  0.0077     0.0008  0.0260
     16   0.0131  0.0070     0.0005  0.0230
     17   0.0139  0.0070     0.0008  0.0241
     18   0.0106  0.0055     0.0002  0.0181
     19   0.0109  0.0053     0.0005  0.0182

