trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  659 370.00  0.00 800.00 21.50  0
  1  707 400.00  0.00 800.00  4.30  1
  2  656 370.00  0.00 800.00 10.80  1
  3  693 390.00  0.00 800.00 12.90  1
  4  694 390.00  0.00 800.00 17.20  0
  5  694 370.00  0.00 800.00 12.90  1
  6  694 380.00  0.00 800.00 12.90  1
  7  694 370.00  0.00 800.00 21.50  0
  8  694 380.00  0.00 800.00 12.90  1
  9  694 400.00  0.00 800.00 12.90  1
 10  694 380.00  0.00 800.00 12.90  1
 11  694 400.00  0.00 800.00 21.50  0
 12  694 380.00  0.00 800.00 12.90  1
 13  694 400.00  0.00 800.00 21.50  0
 14  694 370.00  0.00 800.00 21.50  0
 15  694 400.00  0.00 800.00 12.90  1
 16  694 410.00  0.00 800.00 12.90  1
 17  694 400.00  0.00 800.00 12.90  1
 18  694 410.00  0.00 800.00 12.90  1
 19  694 380.00  0.00 800.00 21.50  0
