trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  643 360.00  0.00 800.00 52.00  0
  1  655 370.00  0.00 800.00  8.60  1
  2  694 390.00  0.00 800.00 17.20  1
  3  732 410.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  1
  5  732 430.00  0.00 800.00 52.00  0
  6  732 430.00  0.00 800.00 52.00  0
  7  732 420.00  0.00 800.00 21.50  1
  8  732 390.00  0.00 800.00 21.50  1
  9  732 430.00  0.00 800.00 52.00  0
 10  732 390.00  0.00 800.00 21.50  1
 11  732 410.00  0.00 800.00 52.00  0
 12  732 410.00  0.00 800.00 21.50  1
 13  732 430.00  0.00 800.00 52.00  0
 14  732 430.00  0.00 800.00 21.50  1
 15  732 420.00  0.00 800.00 52.00  0
 16  732 410.00  0.00 800.00 21.50  1
 17  732 390.00  0.00 800.00 21.50  1
 18  785 440.00  0.00 800.00 21.50  1
 19  714 400.00  0.00 800.00 26.00  0
