trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  660 370.00  0.00 800.00 26.00  0
  1  707 400.00  0.00 800.00  4.30  1
  2  745 420.00  0.00 800.00  8.60  1
  3  676 380.00  0.00 800.00 17.20  1
  4  642 360.00  0.00 800.00 26.00  0
  5  676 360.00  0.00 800.00 12.90  1
  6  676 380.00  0.00 800.00 12.90  1
  7  676 380.00  0.00 800.00 12.90  1
  8  676 400.00  0.00 800.00 21.50  0
  9  676 370.00  0.00 800.00 12.90  1
 10  676 370.00  0.00 800.00 12.90  1
 11  676 360.00  0.00 800.00 21.50  0
 12  783 440.00  0.00 800.00 12.90  1
 13  676 370.00  0.00 800.00 12.90  1
 14  783 430.00  0.00 800.00 17.20  1
 15  802 450.00  0.00 800.00 17.20  1
 16  749 420.00  0.00 800.00 21.50  0
 17  731 410.00  0.00 800.00 21.50  0
 18  749 440.00  0.00 800.00 26.00  0
 19  731 420.00  0.00 800.00 17.20  1
