Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2575  1.4567    -4.2185 -0.1209
      1  -0.7308  1.3366    -2.8728 -0.0671
      2  -0.4830  1.3626    -2.8004 -0.0386
      3  -0.3637  1.3708    -2.6869 -0.0259
      4  -0.2075  1.0577    -0.4808 -0.0243
      5  -1.4236  2.5778    -7.9007 -0.0304
      6  -0.8572  2.0949    -6.8048 -0.0274
      7  -0.4902  1.6092    -4.6359 -0.0259
      8  -0.2768  1.2103    -1.0103 -0.0249
      9  -0.1582  0.9037    -0.4219 -0.0242
     10  -0.0919  0.6710    -0.2713 -0.0238
     11  -0.0550  0.4957    -0.2665 -0.0235
     12  -0.0351  0.3719    -0.2634 -0.0234
     13  -0.0930  0.6948    -0.2674 -0.0236
     14  -0.0551  0.5114    -0.2642 -0.0234
     15  -0.0340  0.3712    -0.2624 -0.0233
     16  -0.0231  0.2726    -0.2613 -0.0233
     17  -0.0172  0.2006    -0.2607 -0.0232
     18  -0.0149  0.1674    -0.2603 -0.0232
     19  -0.0335  0.3708    -0.2618 -0.0233

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0952  0.0622     0.0001  0.1892
      1   0.0966  0.0613     0.0001  0.1892
      2   0.0983  0.0612     0.0001  0.1896
      3   0.1001  0.0604     0.0001  0.1897
      4   0.1108  0.0570     0.0058  0.1912
      5   0.0312  0.0333     0.0000  0.0930
      6   0.0369  0.0332     0.0000  0.0974
      7   0.0406  0.0326     0.0000  0.1000
      8   0.0444  0.0321     0.0001  0.1027
      9   0.0479  0.0316     0.0034  0.1054
     10   0.0511  0.0313     0.0078  0.1081
     11   0.0539  0.0311     0.0107  0.1104
     12   0.0572  0.0312     0.0141  0.1139
     13   0.0371  0.0196     0.0070  0.0696
     14   0.0388  0.0193     0.0088  0.0711
     15   0.0400  0.0191     0.0104  0.0721
     16   0.0415  0.0190     0.0124  0.0734
     17   0.0430  0.0189     0.0142  0.0746
     18   0.0450  0.0195     0.0151  0.0777
     19   0.0316  0.0133     0.0087  0.0525

