Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2089  1.4785    -4.3930 -0.1140
      1  -0.7291  1.3353    -2.8570 -0.0671
      2  -0.4824  1.3623    -2.7969 -0.0386
      3  -0.3634  1.3704    -2.6834 -0.0259
      4  -1.4511  2.5866    -7.9224 -0.0313
      5  -0.8810  2.1062    -6.8472 -0.0281
      6  -0.5100  1.6207    -4.7190 -0.0265
      7  -0.2974  1.2456    -1.3648 -0.0252
      8  -0.1717  0.9403    -0.4568 -0.0243
      9  -0.0994  0.7004    -0.2723 -0.0239
     10  -0.0589  0.5188    -0.2667 -0.0236
     11  -0.0367  0.3847    -0.2634 -0.0234
     12  -0.0246  0.2863    -0.2617 -0.0233
     13  -0.0179  0.2103    -0.2607 -0.0232
     14  -0.0143  0.1551    -0.2603 -0.0232
     15  -0.0251  0.2986    -0.2610 -0.0233
     16  -0.0181  0.2182    -0.2604 -0.0232
     17  -0.0141  0.1535    -0.2602 -0.0232
     18  -0.0123  0.1132    -0.2600 -0.0232
     19  -0.0185  0.2240    -0.2604 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0940  0.0622     0.0001  0.1889
      1   0.0967  0.0613     0.0001  0.1893
      2   0.0983  0.0611     0.0001  0.1896
      3   0.1002  0.0604     0.0001  0.1897
      4   0.0350  0.0390     0.0000  0.1111
      5   0.0414  0.0393     0.0000  0.1167
      6   0.0456  0.0388     0.0000  0.1199
      7   0.0512  0.0385     0.0001  0.1243
      8   0.0560  0.0382     0.0034  0.1284
      9   0.0602  0.0378     0.0084  0.1316
     10   0.0639  0.0375     0.0124  0.1348
     11   0.0675  0.0373     0.0158  0.1379
     12   0.0711  0.0373     0.0190  0.1413
     13   0.0743  0.0372     0.0219  0.1440
     14   0.0774  0.0371     0.0244  0.1469
     15   0.0538  0.0251     0.0160  0.0968
     16   0.0555  0.0250     0.0180  0.0985
     17   0.0557  0.0249     0.0184  0.0986
     18   0.0576  0.0249     0.0207  0.1005
     19   0.0427  0.0178     0.0143  0.0718

