Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3923  2.0566    -6.6781 -0.3592
      1  -1.6822  1.1848    -3.3621 -0.1843
      2  -2.5742  0.7963    -3.4831 -1.8693
      3  -2.9852  0.6826    -3.6746 -2.5814
      4  -3.3054  0.7692    -4.4274 -2.9441
      5  -3.8026  1.2261    -6.7427 -3.0170
      6  -3.4632  0.7940    -4.5056 -3.0316
      7  -3.5368  0.7225    -4.5230 -3.1948
      8  -3.4298  0.5252    -3.9061 -3.1944
      9  -3.4653  0.4394    -3.9059 -3.2933
     10  -3.4431  0.3185    -3.8437 -3.3029
     11  -3.5810  0.5695    -4.1951 -3.3776
     12  -3.5739  0.4530    -4.1546 -3.4337
     13  -3.5421  0.3429    -4.0179 -3.4346
     14  -3.6547  0.4023    -4.1796 -3.4522
     15  -3.7147  0.3805    -4.2117 -3.4895
     16  -3.6785  0.2982    -4.1291 -3.4850
     17  -3.7011  0.2537    -4.1379 -3.5339
     18  -3.6930  0.2024    -4.1128 -3.5350
     19  -3.6759  0.1648    -4.0149 -3.5268

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0592     0.0054  0.1897
      1   0.1010  0.0591     0.0056  0.1897
      2   0.1001  0.0595     0.0045  0.1896
      3   0.0997  0.0596     0.0043  0.1896
      4   0.0924  0.0611     0.0019  0.1883
      5   0.0406  0.0401     0.0001  0.1217
      6   0.0512  0.0415     0.0001  0.1321
      7   0.0539  0.0421     0.0008  0.1357
      8   0.0627  0.0425     0.0038  0.1436
      9   0.0688  0.0438     0.0063  0.1511
     10   0.0709  0.0431     0.0099  0.1520
     11   0.0359  0.0240     0.0017  0.0780
     12   0.0382  0.0239     0.0036  0.0802
     13   0.0402  0.0236     0.0068  0.0815
     14   0.0318  0.0180     0.0039  0.0618
     15   0.0317  0.0183     0.0039  0.0626
     16   0.0343  0.0183     0.0069  0.0654
     17   0.0363  0.0190     0.0077  0.0684
     18   0.0369  0.0188     0.0086  0.0687
     19   0.0391  0.0189     0.0102  0.0711

