Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.8327  1.2989    -4.6865 -6.5242
      1  -7.1128  1.1464    -8.2667 -5.6614
      2  -6.7528  1.1367    -7.6142 -4.8359
      3  -6.5388  1.1743    -7.3399 -4.1934
      4  -5.8004  1.7342    -7.4944 -1.6134
      5  -4.7037  2.1311    -8.0942 -0.7315
      6  -4.7582  1.9784    -7.4700 -0.8469
      7  -3.5119  2.2679    -8.0137 -0.3748
      8  -3.3310  2.1121    -7.2541 -0.3711
      9  -4.2342  1.7854    -7.3546 -1.1308
     10  -4.2070  1.6303    -6.7666 -1.3506
     11  -3.4512  1.6538    -6.4911 -0.8379
     12  -3.3743  1.5054    -5.9157 -0.9022
     13  -3.8924  1.2586    -6.0392 -2.0728
     14  -3.4889  1.1726    -5.3729 -1.7651
     15  -3.7985  1.0276    -5.5076 -2.5142
     16  -3.5540  0.9418    -4.9594 -2.3823
     17  -3.5313  0.8374    -4.8455 -2.4324
     18  -3.7416  0.7526    -4.9831 -2.8398
     19  -3.5528  0.6971    -4.6395 -2.7016

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0983  0.0609     0.0001  0.1896
      1   0.0941  0.0623     0.0001  0.1890
      2   0.0929  0.0636     0.0001  0.1893
      3   0.0880  0.0642     0.0001  0.1886
      4   0.0271  0.0319     0.0000  0.0907
      5   0.0064  0.0066     0.0000  0.0161
      6   0.0077  0.0066     0.0000  0.0176
      7   0.0047  0.0036     0.0000  0.0067
      8   0.0056  0.0032     0.0000  0.0068
      9   0.0057  0.0033     0.0000  0.0069
     10   0.0064  0.0029     0.0000  0.0069
     11   0.0061  0.0028     0.0000  0.0068
     12   0.0066  0.0023     0.0001  0.0068
     13   0.0067  0.0023     0.0001  0.0069
     14   0.0068  0.0023     0.0001  0.0069
     15   0.0069  0.0024     0.0001  0.0070
     16   0.0071  0.0024     0.0001  0.0080
     17   0.0072  0.0021     0.0003  0.0082
     18   0.0073  0.0022     0.0003  0.0091
     19   0.0074  0.0023     0.0003  0.0098

