Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5176  2.2185    -9.0918 -2.2056
      1  -3.7296  1.2382    -5.6726 -2.0181
      2  -2.8114  0.7971    -3.9118 -1.9151
      3  -2.2908  0.6342    -2.9415 -1.8579
      4  -2.0191  0.5956    -2.5402 -1.6719
      5  -1.8545  0.6133    -2.2916 -1.4224
      6  -1.6401  1.1493    -2.7378 -0.4546
      7  -1.3718  1.5254    -5.0685 -0.1775
      8  -1.1926  1.7759    -6.0784 -0.0927
      9  -0.9346  1.3771    -3.3990 -0.0878
     10  -0.7875  1.0601    -1.8475 -0.0853
     11  -0.6069  1.0651    -1.5829 -0.0593
     12  -0.4804  0.9172    -1.2843 -0.0511
     13  -0.3953  0.7382    -1.0913 -0.0477
     14  -0.3340  0.5981    -1.0015 -0.0448
     15  -0.2571  0.5588    -0.8374 -0.0378
     16  -0.2014  0.5139    -0.7487 -0.0335
     17  -0.1720  0.4085    -0.7093 -0.0325
     18  -0.1519  0.3285    -0.6744 -0.0317
     19  -0.1368  0.2698    -0.6372 -0.0310

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0589     0.0062  0.1898
      1   0.1016  0.0589     0.0062  0.1899
      2   0.1023  0.0588     0.0069  0.1900
      3   0.1024  0.0589     0.0067  0.1901
      4   0.1020  0.0592     0.0061  0.1901
      5   0.1011  0.0607     0.0047  0.1904
      6   0.0330  0.0311     0.0001  0.0938
      7   0.0138  0.0110     0.0000  0.0321
      8   0.0098  0.0069     0.0000  0.0195
      9   0.0106  0.0066     0.0001  0.0198
     10   0.0110  0.0063     0.0002  0.0199
     11   0.0105  0.0057     0.0002  0.0186
     12   0.0110  0.0059     0.0003  0.0193
     13   0.0117  0.0060     0.0005  0.0198
     14   0.0123  0.0061     0.0007  0.0203
     15   0.0122  0.0059     0.0007  0.0200
     16   0.0124  0.0059     0.0008  0.0201
     17   0.0130  0.0060     0.0009  0.0205
     18   0.0135  0.0060     0.0011  0.0208
     19   0.0141  0.0061     0.0013  0.0218

