trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  672 380.00  0.00 800.00  6.44  1
  1  664 370.00  0.00 800.00 260.00  1
  2 1043 580.00  0.00 800.00 520.00  0
  3  791 440.00  0.00 800.00 520.00  0
  4  844 470.00  0.00 800.00 260.00  0
  5  754 420.00  0.00 800.00 260.00  0
  6  825 460.00  0.00 800.00 156.00  0
  7  788 440.00  0.00 800.00 104.00  0
  8  697 390.00  0.00 800.00 52.00  0
  9  695 390.00  0.00 800.00 21.50  0
 10  673 380.00  0.00 800.00  8.60  0
 11 1421 790.00  0.00 800.00 520.00  0
 12  672 380.00  0.00 800.00  6.44  0
 13  724 410.00  0.00 800.00  3.00  0
 14 1420 790.00  0.00 800.00 260.00  0
 15  706 400.00  0.00 800.00  3.00  0
 16  777 440.00  0.00 800.00  2.00  0
 17 1420 790.00  0.00 800.00 260.00  0
 18  651 370.00  0.00 800.00  2.00  0
 19  759 430.00  0.00 800.00  2.00  0
