trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   67  40.00  0.00 800.00 52.00  1
  1  753 420.00  0.00 800.00 156.00  0
  2  695 390.00  0.00 800.00 21.50  0
  3  744 420.00  0.00 800.00  6.44  1
  4  693 390.00  0.00 800.00 12.90  1
  5  783 440.00  0.00 800.00 12.90  1
  6  713 400.00  0.00 800.00 21.50  1
  7  571 320.00  0.00 800.00 52.00  0
  8  695 390.00  0.00 800.00 21.50  0
  9  713 400.00  0.00 800.00 21.50  0
 10  731 410.00  0.00 800.00 21.50  1
 11  930 520.00  0.00 800.00 26.00  0
 12  713 400.00  0.00 800.00 21.50  0
 13  675 380.00  0.00 800.00 12.90  1
 14  731 410.00  0.00 800.00 21.50  1
 15  876 490.00  0.00 800.00 26.00  0
 16  695 390.00  0.00 800.00 21.50  1
 17  641 360.00  0.00 800.00 21.50  1
 18  840 470.00  0.00 800.00 26.00  0
 19  659 370.00  0.00 800.00 21.50  1
