Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0490  1.4661    -4.0724 -0.2167
      1  -1.0860  1.0830    -2.1569 -0.1181
      2  -0.5845  0.9915    -1.2897 -0.0653
      3  -0.3297  0.9970    -0.7958 -0.0376
      4  -0.4498  0.9817    -0.9576 -0.1469
      5  -0.3508  0.7514    -0.5968 -0.1371
      6  -0.3300  0.5745    -0.5355 -0.2772
      7  -0.2997  0.4089    -0.5316 -0.2774
      8  -0.2848  0.2912    -0.5298 -0.2776
      9  -0.2842  0.2155    -0.5295 -0.2834
     10  -0.3825  0.5397    -0.7670 -0.2847
     11  -0.3247  0.4385    -0.6819 -0.2823
     12  -1.2659  2.2779    -7.4382 -0.0596
     13  -0.8244  1.7990    -5.9006 -0.0543
     14  -0.5535  1.3604    -2.9575 -0.0515
     15  -0.4012  1.0052    -0.9681 -0.0501
     16  -0.3151  0.7649    -0.7743 -0.0484
     17  -0.2627  0.5858    -0.7247 -0.0470
     18  -0.2622  0.4814    -0.7232 -0.0538
     19  -0.2367  0.3744    -0.6805 -0.0524

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0983  0.0603     0.0020  0.1894
      1   0.0999  0.0599     0.0028  0.1897
      2   0.1003  0.0595     0.0035  0.1896
      3   0.1020  0.0592     0.0038  0.1900
      4   0.1002  0.0600     0.0032  0.1899
      5   0.1109  0.0570     0.0113  0.1914
      6   0.1194  0.0540     0.0192  0.1924
      7   0.1217  0.0522     0.0256  0.1926
      8   0.1229  0.0512     0.0291  0.1927
      9   0.1274  0.0489     0.0366  0.1931
     10   0.0719  0.0416     0.0123  0.1498
     11   0.0795  0.0425     0.0160  0.1574
     12   0.0137  0.0120     0.0000  0.0328
     13   0.0156  0.0116     0.0000  0.0337
     14   0.0168  0.0112     0.0001  0.0342
     15   0.0174  0.0109     0.0004  0.0345
     16   0.0186  0.0109     0.0010  0.0358
     17   0.0198  0.0109     0.0016  0.0372
     18   0.0212  0.0112     0.0022  0.0391
     19   0.0223  0.0112     0.0030  0.0401

