Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0605  1.5219    -4.6459 -0.0937
      1  -1.4498  1.4426    -5.0138 -0.7841
      2  -1.5404  1.3099    -4.3659 -1.0459
      3  -1.7317  1.3443    -4.9117 -1.1823
      4  -2.6012  1.9785    -7.7822 -1.3177
      5  -2.0780  1.5192    -6.2345 -1.3258
      6  -1.8377  1.2601    -4.5355 -1.3251
      7  -1.7865  1.4079    -5.4319 -1.1500
      8  -1.6357  1.2532    -4.1865 -1.1258
      9  -1.4999  1.0114    -1.9889 -1.1279
     10  -1.4448  0.7846    -1.8064 -1.2640
     11  -1.3872  0.5715    -1.7459 -1.2814
     12  -1.3500  0.4432    -1.5857 -1.2776
     13  -1.3456  0.3359    -1.5850 -1.3304
     14  -1.3350  0.2421    -1.5832 -1.3307
     15  -1.3359  0.1859    -1.5834 -1.3349
     16  -1.3352  0.1412    -1.5833 -1.3365
     17  -1.3350  0.1109    -1.5835 -1.3374
     18  -1.3346  0.0882    -1.5835 -1.3377
     19  -1.3343  0.0730    -1.5835 -1.3379

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0943  0.0628     0.0001  0.1892
      1   0.0931  0.0638     0.0000  0.1893
      2   0.0961  0.0631     0.0001  0.1898
      3   0.0910  0.0642     0.0001  0.1893
      4   0.0287  0.0332     0.0000  0.0950
      5   0.0373  0.0353     0.0000  0.1058
      6   0.0455  0.0371     0.0001  0.1157
      7   0.0408  0.0339     0.0000  0.1032
      8   0.0469  0.0361     0.0001  0.1135
      9   0.0531  0.0368     0.0001  0.1203
     10   0.0586  0.0364     0.0043  0.1245
     11   0.0610  0.0357     0.0096  0.1260
     12   0.0657  0.0360     0.0136  0.1308
     13   0.0697  0.0355     0.0176  0.1341
     14   0.0705  0.0352     0.0195  0.1345
     15   0.0740  0.0351     0.0227  0.1376
     16   0.0763  0.0348     0.0252  0.1396
     17   0.0789  0.0348     0.0278  0.1422
     18   0.0807  0.0346     0.0294  0.1435
     19   0.0823  0.0345     0.0310  0.1447

