trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  722 410.00  0.00 800.00  1.00  1
  1  698 390.00  0.00 800.00 104.00  1
  2  971 540.00  0.00 800.00 520.00  0
  3  844 470.00  0.00 800.00 260.00  1
  4  791 440.00  0.00 800.00 520.00  1
  5  881 490.00  0.00 800.00 520.00  1
  6  971 540.00  0.00 800.00 520.00  1
  7 1079 600.00  0.00 800.00 520.00  0
  8  971 530.00  0.00 800.00 260.00  1
  9  971 530.00  0.00 800.00 260.00  1
 10  971 530.00  0.00 800.00 260.00  1
 11  971 540.00  0.00 800.00 260.00  1
 12  971 540.00  0.00 800.00 260.00  1
 13  971 540.00  0.00 800.00 260.00  1
 14  971 550.00  0.00 800.00 260.00  1
 15  971 560.00  0.00 800.00 260.00  1
 16  971 540.00  0.00 800.00 260.00  1
 17  971 530.00  0.00 800.00 260.00  1
 18  971 560.00  0.00 800.00 260.00  1
 19  971 540.00  0.00 800.00 260.00  1
