Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.1068  1.8932    -6.1274 -0.3307
      1  -4.6285  1.0691    -6.2689 -3.2461
      2  -3.8367  0.7169    -4.7480 -3.1717
      3  -4.2552  0.5665    -4.9340 -3.9187
      4  -4.5295  0.5931    -5.2288 -4.2491
      5  -4.4544  0.4403    -4.8144 -4.2503
      6  -4.4621  0.3288    -4.7785 -4.2867
      7  -4.3122  1.6994    -8.1396 -1.3307
      8  -4.5942  2.7135    -8.9882 -0.4851
      9  -4.6343  2.7265    -9.0034 -0.4887
     10  -4.5936  2.7264    -8.9940 -0.4796
     11  -4.6343  2.7264    -9.0033 -0.4888
     12  -4.6748  2.7274    -9.0131 -0.4976
     13  -4.7152  2.7280    -9.0224 -0.5067
     14  -4.7513  2.7224    -9.0284 -0.5188
     15  -4.7110  2.7221    -9.0191 -0.5095
     16  -4.7513  2.7222    -9.0283 -0.5189
     17  -4.7907  2.7180    -9.0353 -0.5307
     18  -4.8311  2.7157    -9.0433 -0.5416
     19  -4.8714  2.7144    -9.0517 -0.5520

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0591     0.0053  0.1897
      1   0.1005  0.0592     0.0052  0.1896
      2   0.1003  0.0591     0.0052  0.1896
      3   0.1009  0.0591     0.0054  0.1897
      4   0.0944  0.0601     0.0027  0.1884
      5   0.1063  0.0578     0.0084  0.1905
      6   0.1092  0.0562     0.0140  0.1908
      7   0.0094  0.0100     0.0000  0.0257
      8   0.0001  0.0006     0.0000  0.0001
      9   0.0001  0.0001     0.0000  0.0001
     10   0.0001  0.0001     0.0000  0.0001
     11   0.0001  0.0001     0.0000  0.0001
     12   0.0001  0.0001     0.0000  0.0001
     13   0.0001  0.0001     0.0000  0.0001
     14   0.0001  0.0001     0.0000  0.0001
     15   0.0001  0.0001     0.0000  0.0001
     16   0.0001  0.0001     0.0000  0.0001
     17   0.0001  0.0001     0.0000  0.0001
     18   0.0001  0.0001     0.0000  0.0001
     19   0.0001  0.0001     0.0000  0.0001

