Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.8753  2.2599    -7.7163 -0.1262
      1  -0.7504  1.3892    -3.3910 -0.0666
      2  -0.4879  1.3798    -2.9722 -0.0385
      3  -0.3676  1.3835    -2.8119 -0.0258
      4  -0.2094  1.0657    -0.4759 -0.0243
      5  -0.6573  1.8814    -6.0430 -0.0258
      6  -0.3593  1.4081    -3.0376 -0.0247
      7  -0.1953  1.0355    -0.4079 -0.0240
      8  -0.1109  0.7703    -0.2682 -0.0236
      9  -0.0617  0.5472    -0.2650 -0.0235
     10  -0.0379  0.4043    -0.2624 -0.0233
     11  -0.0259  0.3010    -0.2616 -0.0233
     12  -0.0931  0.6814    -0.2707 -0.0238
     13  -0.0556  0.5048    -0.2659 -0.0235
     14  -0.1203  0.8040    -0.2692 -0.0237
     15  -0.0680  0.5819    -0.2653 -0.0235
     16  -0.0416  0.4291    -0.2629 -0.0234
     17  -0.0274  0.3172    -0.2616 -0.0233
     18  -0.0827  0.6578    -0.2652 -0.0235
     19  -0.0485  0.4783    -0.2629 -0.0234

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0843  0.0627     0.0001  0.1870
      1   0.0977  0.0611     0.0001  0.1894
      2   0.0991  0.0609     0.0001  0.1897
      3   0.1007  0.0602     0.0001  0.1898
      4   0.1112  0.0567     0.0066  0.1912
      5   0.0661  0.0507     0.0000  0.1601
      6   0.0713  0.0491     0.0001  0.1623
      7   0.0760  0.0475     0.0044  0.1642
      8   0.0814  0.0464     0.0130  0.1669
      9   0.0828  0.0456     0.0164  0.1673
     10   0.0873  0.0449     0.0211  0.1698
     11   0.0910  0.0443     0.0246  0.1716
     12   0.0532  0.0289     0.0105  0.1035
     13   0.0560  0.0285     0.0143  0.1059
     14   0.0419  0.0216     0.0078  0.0777
     15   0.0434  0.0211     0.0105  0.0787
     16   0.0452  0.0208     0.0133  0.0801
     17   0.0469  0.0206     0.0150  0.0814
     18   0.0333  0.0149     0.0082  0.0567
     19   0.0343  0.0146     0.0096  0.0574

