trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1314 740.00  0.00 800.00  0.43  1
  1  754 420.00  0.00 800.00 260.00  0
  2  679 380.00  0.00 800.00 52.00  1
  3  645 360.00  0.00 800.00 156.00  0
  4  608 340.00  0.00 800.00 104.00  0
  5  769 430.00  0.00 800.00 52.00  0
  6  661 370.00  0.00 800.00 52.00  0
  7  768 430.00  0.00 800.00 26.00  0
  8  747 420.00  0.00 800.00 12.90  0
  9  690 390.00  0.00 800.00  6.44  1
 10  637 360.00  0.00 800.00  8.60  1
 11 1421 790.00  0.00 800.00 520.00  0
 12  675 380.00  0.00 800.00 12.90  0
 13  547 310.00  0.00 800.00  8.60  0
 14 1421 790.00  0.00 800.00 520.00  0
 15 1421 790.00  0.00 800.00 260.00  0
 16  564 320.00  0.00 800.00  6.44  0
 17  581 330.00  0.00 800.00  4.30  0
 18 1421 790.00  0.00 800.00 520.00  0
 19  688 390.00  0.00 800.00  3.00  0
