Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.5698  1.3010    -5.8003 -6.1884
      1  -6.7041  1.0137    -7.8094 -5.8549
      2  -6.2571  0.9792    -7.0517 -5.0669
      3  -6.0786  0.9727    -6.7632 -4.6615
      4  -5.6067  1.3781    -6.6508 -2.2062
      5  -4.6137  1.9289    -7.3193 -0.8069
      6  -3.4056  2.2247    -7.9648 -0.3625
      7  -3.1831  2.0428    -7.0424 -0.3471
      8  -2.3518  1.9898    -6.9305 -0.2097
      9  -2.1115  1.7385    -5.5939 -0.1977
     10  -1.5186  1.5882    -4.8818 -0.1283
     11  -1.3609  1.3366    -3.7216 -0.1237
     12  -0.9867  1.1686    -2.7440 -0.0886
     13  -0.7551  1.0163    -2.0952 -0.0702
     14  -0.6908  0.8295    -1.9456 -0.0693
     15  -0.5315  0.7253    -1.5741 -0.0562
     16  -0.4179  0.6331    -1.3101 -0.0479
     17  -0.3398  0.5449    -1.1427 -0.0428
     18  -0.2841  0.4652    -1.0131 -0.0395
     19  -0.2393  0.4005    -0.9189 -0.0368

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0985  0.0603     0.0005  0.1894
      1   0.0956  0.0613     0.0001  0.1890
      2   0.0931  0.0618     0.0001  0.1885
      3   0.0920  0.0615     0.0001  0.1880
      4   0.0538  0.0522     0.0000  0.1603
      5   0.0114  0.0124     0.0000  0.0331
      6   0.0050  0.0040     0.0000  0.0077
      7   0.0060  0.0037     0.0000  0.0089
      8   0.0058  0.0033     0.0000  0.0069
      9   0.0065  0.0028     0.0000  0.0069
     10   0.0066  0.0027     0.0000  0.0069
     11   0.0069  0.0023     0.0001  0.0070
     12   0.0070  0.0023     0.0001  0.0073
     13   0.0072  0.0022     0.0002  0.0083
     14   0.0073  0.0020     0.0003  0.0084
     15   0.0074  0.0021     0.0004  0.0092
     16   0.0075  0.0022     0.0004  0.0099
     17   0.0076  0.0023     0.0004  0.0105
     18   0.0078  0.0024     0.0004  0.0111
     19   0.0080  0.0026     0.0005  0.0116

