Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9470  1.3358    -4.1380 -6.3105
      1  -7.3841  1.2108    -8.5832 -5.6565
      2  -6.9863  1.2414    -7.9485 -4.5582
      3  -6.6875  1.3515    -7.6298 -3.5087
      4  -5.9973  1.7765    -7.7106 -1.6804
      5  -6.4378  1.4240    -7.6237 -2.8963
      6  -6.6642  1.1586    -7.5846 -4.6034
      7  -6.7608  1.2809    -7.8347 -3.8963
      8  -6.8577  0.9955    -7.5923 -6.1209
      9  -6.6543  1.1520    -7.5003 -4.5602
     10  -6.7850  0.8995    -7.4518 -6.3844
     11  -6.7344  0.8299    -7.3388 -6.4044
     12  -6.8073  0.6375    -7.3344 -6.6405
     13  -6.7954  0.5312    -7.2652 -6.6476
     14  -6.8315  0.4081    -7.2670 -6.7549
     15  -6.8270  0.3214    -7.1675 -6.7614
     16  -6.8440  0.2468    -7.1757 -6.8485
     17  -6.7587  0.5859    -7.2108 -6.6129
     18  -6.7987  0.4521    -7.2076 -6.6581
     19  -6.8249  0.3504    -7.2082 -6.7183

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0976  0.0612     0.0001  0.1894
      1   0.0937  0.0621     0.0001  0.1888
      2   0.0891  0.0637     0.0001  0.1883
      3   0.0769  0.0633     0.0000  0.1851
      4   0.0262  0.0311     0.0000  0.0882
      5   0.0349  0.0340     0.0000  0.1004
      6   0.0422  0.0353     0.0000  0.1090
      7   0.0407  0.0358     0.0000  0.1091
      8   0.0454  0.0357     0.0001  0.1132
      9   0.0326  0.0251     0.0000  0.0768
     10   0.0366  0.0250     0.0001  0.0803
     11   0.0384  0.0258     0.0001  0.0835
     12   0.0419  0.0255     0.0037  0.0866
     13   0.0456  0.0264     0.0070  0.0917
     14   0.0489  0.0264     0.0098  0.0948
     15   0.0521  0.0266     0.0128  0.0981
     16   0.0551  0.0265     0.0154  0.1010
     17   0.0326  0.0167     0.0042  0.0594
     18   0.0347  0.0164     0.0076  0.0610
     19   0.0366  0.0163     0.0092  0.0624

