trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1186 660.00  0.00 800.00 260.00  0
  1  822 460.00  0.00 800.00 26.00  0
  2  654 370.00  0.00 800.00  6.44  1
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  1
  6  589 330.00  0.00 800.00 52.00  1
  7  572 320.00  0.00 800.00 104.00  1
  8  664 370.00  0.00 800.00 260.00  1
  9  773 430.00  0.00 800.00 520.00  1
 10  881 490.00  0.00 800.00 520.00  1
 11   10  10.00  0.00 800.00 17.20  1
 12  971 540.00  0.00 800.00 520.00  0
 13  989 550.00  0.00 800.00 520.00  0
 14  701 390.00  0.00 800.00 520.00  1
 15 1079 600.00  0.00 800.00 520.00  0
 16 1043 580.00  0.00 800.00 520.00  0
 17  647 360.00  0.00 800.00 520.00  1
 18 1133 630.00  0.00 800.00 520.00  1
 19    7  10.00  0.00 800.00  8.60  1
