Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9800  2.5246    -9.0378 -1.1696
      1  -2.7882  1.3273    -4.8563 -0.9296
      2  -3.8343  0.7836    -4.9572 -2.9487
      3  -3.3047  0.5750    -3.9473 -2.8752
      4  -3.5878  0.4932    -4.1132 -3.3329
      5  -3.7358  0.4758    -4.2101 -3.5380
      6  -3.6844  0.3433    -3.9504 -3.5357
      7  -3.5719  0.6448    -3.9941 -3.2681
      8  -3.4762  0.6180    -3.9224 -3.2010
      9  -3.6448  0.9169    -4.6462 -3.1358
     10  -3.5699  1.0284    -5.3620 -2.8325
     11  -3.5354  0.7860    -4.1258 -3.1830
     12  -3.5181  0.6000    -3.9468 -3.2867
     13  -3.4709  0.4923    -3.8991 -3.2871
     14  -3.5160  0.5261    -3.9334 -3.4170
     15  -3.4951  0.3907    -3.9163 -3.4289
     16  -3.4575  0.3276    -3.8622 -3.4276
     17  -3.4498  0.2461    -3.8468 -3.4286
     18  -3.4458  0.1907    -3.8368 -3.4294
     19  -3.4754  0.2070    -3.8917 -3.4355

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1030  0.0582     0.0082  0.1900
      1   0.1032  0.0581     0.0082  0.1900
      2   0.1031  0.0582     0.0080  0.1900
      3   0.1035  0.0581     0.0085  0.1901
      4   0.1044  0.0581     0.0087  0.1903
      5   0.1040  0.0585     0.0083  0.1903
      6   0.1145  0.0552     0.0168  0.1917
      7   0.0615  0.0424     0.0012  0.1411
      8   0.0621  0.0427     0.0018  0.1427
      9   0.0381  0.0286     0.0001  0.0883
     10   0.0325  0.0257     0.0000  0.0775
     11   0.0360  0.0252     0.0001  0.0800
     12   0.0390  0.0248     0.0017  0.0820
     13   0.0427  0.0255     0.0047  0.0870
     14   0.0399  0.0234     0.0036  0.0800
     15   0.0413  0.0229     0.0074  0.0807
     16   0.0445  0.0238     0.0087  0.0854
     17   0.0453  0.0235     0.0101  0.0858
     18   0.0459  0.0233     0.0112  0.0861
     19   0.0432  0.0214     0.0109  0.0799

