Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5684  2.4469    -7.8246 -0.0638
      1  -2.4490  2.7113    -8.4264 -0.3826
      2  -4.8686  2.5623    -9.0211 -1.0247
      3  -3.4178  2.0361    -7.8800 -0.8013
      4  -4.2740  1.8229    -8.1840 -1.5060
      5  -4.2228  1.6521    -7.8000 -1.8715
      6  -3.5820  1.4629    -6.7418 -1.5665
      7  -3.1429  1.5246    -6.7310 -1.1625
      8  -3.0061  1.2775    -5.1431 -1.2659
      9  -3.2236  1.0631    -4.9023 -2.0092
     10  -3.0229  0.9277    -4.2227 -1.9299
     11  -3.1371  0.7691    -4.1922 -2.3828
     12  -3.3212  0.7377    -4.3905 -2.6642
     13  -3.2154  0.6161    -4.0520 -2.6489
     14  -3.2573  0.5201    -4.0446 -2.7833
     15  -3.1775  0.4428    -3.8501 -2.7490
     16  -3.1153  0.3864    -3.6787 -2.7197
     17  -3.1657  0.3321    -3.6867 -2.8933
     18  -3.2091  0.2928    -3.7153 -2.9453
     19  -3.1592  0.2575    -3.6514 -2.9303

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0757  0.0659     0.0000  0.1861
      1   0.0560  0.0621     0.0000  0.1797
      2   0.0097  0.0090     0.0000  0.0237
      3   0.0105  0.0100     0.0000  0.0264
      4   0.0090  0.0082     0.0000  0.0208
      5   0.0102  0.0080     0.0000  0.0222
      6   0.0106  0.0083     0.0000  0.0234
      7   0.0098  0.0077     0.0000  0.0206
      8   0.0107  0.0075     0.0001  0.0213
      9   0.0119  0.0080     0.0001  0.0243
     10   0.0131  0.0085     0.0001  0.0262
     11   0.0144  0.0089     0.0004  0.0277
     12   0.0144  0.0090     0.0004  0.0279
     13   0.0158  0.0093     0.0007  0.0304
     14   0.0169  0.0096     0.0011  0.0320
     15   0.0183  0.0099     0.0014  0.0336
     16   0.0195  0.0103     0.0019  0.0352
     17   0.0209  0.0106     0.0024  0.0377
     18   0.0222  0.0110     0.0031  0.0395
     19   0.0235  0.0114     0.0039  0.0412

