Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.4964  1.7451    -9.1972 -3.8953
      1  -5.1925  1.1034    -6.7659 -3.5683
      2  -4.3448  0.8341    -5.2635 -3.1210
      3  -3.8356  0.8094    -4.6528 -2.6153
      4  -4.2210  0.6827    -4.8648 -3.7760
      5  -4.1932  0.5223    -4.6851 -3.9064
      6  -4.1821  0.4146    -4.6376 -3.9619
      7  -4.1784  0.3442    -4.6127 -3.9739
      8  -4.1763  0.2988    -4.5895 -3.9828
      9  -4.1751  0.2697    -4.5658 -3.9896
     10  -4.1949  0.1806    -4.5672 -4.0298
     11  -4.1947  0.1682    -4.5602 -4.0325
     12  -4.2006  0.1406    -4.5610 -4.0492
     13  -4.2003  0.1359    -4.5555 -4.0506
     14  -4.2002  0.1328    -4.5506 -4.0518
     15  -4.2038  0.1216    -4.5518 -4.0655
     16  -4.2051  0.1177    -4.5522 -4.0710
     17  -4.2061  0.1153    -4.5526 -4.0753
     18  -4.2058  0.1146    -4.5496 -4.0756
     19  -4.2066  0.1131    -4.5500 -4.0789

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1054  0.0589     0.0046  0.1906
      1   0.1035  0.0596     0.0039  0.1904
      2   0.0983  0.0609     0.0025  0.1897
      3   0.0860  0.0611     0.0013  0.1868
      4   0.0980  0.0620     0.0004  0.1900
      5   0.1038  0.0596     0.0049  0.1906
      6   0.1075  0.0578     0.0095  0.1910
      7   0.1098  0.0566     0.0132  0.1912
      8   0.1118  0.0555     0.0162  0.1914
      9   0.1137  0.0546     0.0189  0.1916
     10   0.1156  0.0533     0.0239  0.1918
     11   0.1163  0.0529     0.0253  0.1919
     12   0.1171  0.0523     0.0276  0.1919
     13   0.1176  0.0520     0.0285  0.1920
     14   0.1181  0.0517     0.0293  0.1920
     15   0.1188  0.0512     0.0310  0.1921
     16   0.1191  0.0510     0.0318  0.1921
     17   0.1194  0.0508     0.0324  0.1921
     18   0.1196  0.0506     0.0329  0.1921
     19   0.1198  0.0505     0.0335  0.1922

