  0 1371 770.00  0.00 800.00  2.00  1
  1  881 490.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  859 480.00  0.00 800.00 52.00  0
  4  751 420.00  0.00 800.00 52.00  1
  5  751 430.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 104.00  0
  7  751 430.00  0.00 800.00 104.00  0
  8  751 410.00  0.00 800.00 104.00  0
  9  751 400.00  0.00 800.00 104.00  0
 10  751 410.00  0.00 800.00 26.00  1
 11  751 430.00  0.00 800.00 104.00  0
 12  751 410.00  0.00 800.00 26.00  1
 13  751 430.00  0.00 800.00 104.00  0
 14  751 430.00  0.00 800.00 104.00  0
 15  751 440.00  0.00 800.00 26.00  1
 16  751 410.00  0.00 800.00 26.00  1
 17  751 410.00  0.00 800.00 26.00  1
 18  751 440.00  0.00 800.00 104.00  0
 19  751 410.00  0.00 800.00 26.00  1
