Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6296  2.1559    -9.1031 -2.4198
      1  -3.7173  1.1195    -5.4411 -2.2227
      2  -2.8161  0.7500    -3.6884 -2.1286
      3  -2.4183  0.6439    -3.0510 -1.9767
      4  -2.5701  0.5363    -3.1016 -2.3462
      5  -2.4166  0.5261    -2.8311 -2.2064
      6  -2.4264  0.4022    -2.8212 -2.3823
      7  -2.3901  0.2999    -2.6338 -2.3819
      8  -2.3789  0.2174    -2.6297 -2.3824
      9  -2.3368  0.6724    -2.6368 -2.0024
     10  -2.3391  0.5081    -2.6332 -2.1348
     11  -2.3830  0.4310    -2.6347 -2.2127
     12  -2.3893  0.3342    -2.6339 -2.3756
     13  -2.3882  0.2525    -2.6330 -2.3831
     14  -2.3828  0.3343    -2.6312 -2.3131
     15  -2.3774  0.2469    -2.6301 -2.3722
     16  -2.3848  0.2110    -2.6307 -2.3850
     17  -2.3783  0.1552    -2.6280 -2.3851
     18  -2.3774  0.1145    -2.6277 -2.3862
     19  -2.3773  0.0853    -2.6275 -2.3873

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0588     0.0064  0.1898
      1   0.1014  0.0589     0.0060  0.1898
      2   0.1010  0.0591     0.0054  0.1897
      3   0.1007  0.0589     0.0056  0.1896
      4   0.1042  0.0576     0.0089  0.1901
      5   0.1059  0.0576     0.0089  0.1904
      6   0.1147  0.0549     0.0169  0.1917
      7   0.1233  0.0516     0.0272  0.1928
      8   0.1261  0.0496     0.0343  0.1930
      9   0.0550  0.0365     0.0024  0.1213
     10   0.0598  0.0358     0.0076  0.1246
     11   0.0659  0.0372     0.0107  0.1332
     12   0.0711  0.0371     0.0154  0.1377
     13   0.0747  0.0366     0.0196  0.1406
     14   0.0629  0.0314     0.0149  0.1173
     15   0.0645  0.0309     0.0177  0.1183
     16   0.0685  0.0318     0.0202  0.1239
     17   0.0710  0.0314     0.0234  0.1258
     18   0.0718  0.0310     0.0251  0.1264
     19   0.0730  0.0307     0.0272  0.1272

