Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.2541  1.3853    -7.0212 -5.6004
      1  -6.2534  0.9676    -7.3702 -5.4659
      2  -5.8413  0.8230    -6.6156 -5.2677
      3  -6.1345  0.6796    -6.7649 -5.8458
      4  -5.9831  0.6461    -6.5073 -5.7927
      5  -5.6607  1.0900    -6.5224 -3.5611
      6  -5.7913  1.1288    -6.7311 -3.5056
      7  -5.9045  0.9726    -6.6224 -4.7942
      8  -5.6231  1.4239    -7.3606 -2.1077
      9  -5.7552  1.0980    -6.7170 -3.6940
     10  -5.8348  0.8301    -6.5396 -5.2845
     11  -5.4151  1.5580    -7.7586 -1.7390
     12  -5.5435  1.2378    -6.9459 -2.9133
     13  -5.6242  0.9706    -6.6299 -4.4290
     14  -5.6709  0.7691    -6.5408 -4.8671
     15  -5.7500  0.6230    -6.5315 -5.1897
     16  -5.8068  0.5128    -6.5306 -5.3713
     17  -5.7823  0.4280    -6.4139 -5.3812
     18  -5.8220  0.3600    -6.4219 -5.5374
     19  -5.7974  0.3083    -6.3089 -5.5368

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0601     0.0021  0.1896
      1   0.0981  0.0608     0.0012  0.1896
      2   0.0993  0.0605     0.0019  0.1897
      3   0.1005  0.0594     0.0030  0.1896
      4   0.1007  0.0589     0.0033  0.1895
      5   0.0491  0.0423     0.0000  0.1310
      6   0.0454  0.0388     0.0000  0.1180
      7   0.0529  0.0408     0.0001  0.1282
      8   0.0270  0.0254     0.0000  0.0721
      9   0.0303  0.0250     0.0000  0.0742
     10   0.0324  0.0245     0.0001  0.0753
     11   0.0101  0.0099     0.0000  0.0263
     12   0.0117  0.0098     0.0000  0.0272
     13   0.0127  0.0096     0.0001  0.0278
     14   0.0133  0.0094     0.0001  0.0283
     15   0.0146  0.0097     0.0004  0.0304
     16   0.0159  0.0099     0.0007  0.0321
     17   0.0171  0.0102     0.0010  0.0333
     18   0.0184  0.0104     0.0014  0.0345
     19   0.0196  0.0106     0.0018  0.0364

