trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  682 380.00  0.00 800.00 260.00  1
  1 1043 580.00  0.00 800.00 520.00  0
  2  791 440.00  0.00 800.00 520.00  0
  3  844 470.00  0.00 800.00 260.00  1
  4  701 390.00  0.00 800.00 520.00  0
  5  593 330.00  0.00 800.00 520.00  0
  6  844 470.00  0.00 800.00 260.00  1
  7  826 460.00  0.00 800.00 260.00  1
  8  575 320.00  0.00 800.00 520.00  0
  9   12  10.00  0.00 800.00 26.00  1
 10   12  10.00  0.00 800.00 52.00  1
 11  646 360.00  0.00 800.00 260.00  0
 12    6  10.00  0.00 800.00  6.44  1
 13    6  10.00  0.00 800.00  4.30  1
 14    5  10.00  0.00 800.00  4.30  1
 15  484 270.00  0.00 800.00 260.00  1
 16  538 300.00  0.00 800.00 260.00  1
 17  827 460.00  0.00 800.00 520.00  0
 18  592 330.00  0.00 800.00 260.00  1
 19  773 430.00  0.00 800.00 520.00  0
