Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9613  1.4553    -3.9226 -0.2062
      1  -2.8640  1.1172    -4.4949 -1.8834
      2  -3.4650  1.1008    -5.9794 -2.8020
      3  -3.0902  0.7197    -3.6454 -2.6891
      4  -3.2563  0.7155    -3.7916 -2.9695
      5  -3.1938  0.4758    -3.6263 -2.9841
      6  -3.2238  0.4012    -3.6399 -3.1725
      7  -3.1784  0.3201    -3.4217 -3.1708
      8  -3.1982  0.9253    -4.1008 -2.6530
      9  -3.1349  1.1969    -5.9310 -2.1170
     10  -3.0807  0.9232    -3.9186 -2.5335
     11  -3.0560  0.7150    -3.5478 -2.7283
     12  -2.9829  0.6461    -3.4081 -2.6987
     13  -3.0579  1.3231    -6.5281 -2.0060
     14  -2.9251  1.0124    -4.2042 -2.1913
     15  -3.1452  1.8723    -7.9605 -1.1709
     16  -2.8843  1.5188    -6.9688 -1.4739
     17  -2.7088  1.1928    -5.0974 -1.6459
     18  -2.6048  0.9313    -3.5090 -1.7222
     19  -2.5475  0.7422    -3.3590 -1.7662

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0979  0.0605     0.0016  0.1894
      1   0.0965  0.0609     0.0016  0.1891
      2   0.0929  0.0618     0.0009  0.1885
      3   0.0999  0.0597     0.0026  0.1896
      4   0.1007  0.0592     0.0026  0.1895
      5   0.1049  0.0569     0.0101  0.1900
      6   0.1142  0.0557     0.0157  0.1919
      7   0.1264  0.0527     0.0242  0.1937
      8   0.0486  0.0386     0.0001  0.1215
      9   0.0290  0.0244     0.0000  0.0723
     10   0.0328  0.0241     0.0001  0.0749
     11   0.0363  0.0239     0.0004  0.0777
     12   0.0385  0.0247     0.0015  0.0813
     13   0.0159  0.0123     0.0000  0.0351
     14   0.0173  0.0119     0.0001  0.0361
     15   0.0066  0.0059     0.0000  0.0138
     16   0.0079  0.0057     0.0000  0.0148
     17   0.0088  0.0053     0.0000  0.0155
     18   0.0093  0.0050     0.0001  0.0159
     19   0.0096  0.0048     0.0003  0.0161

