Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9778  1.3517    -3.9804 -6.1802
      1  -7.4042  1.2576    -8.6174 -5.3334
      2  -6.9595  1.3606    -8.0541 -3.8316
      3  -6.5121  1.6037    -7.8533 -2.4189
      4  -5.6865  1.9759    -8.0226 -1.2344
      5  -4.3256  2.4281    -8.6233 -0.5137
      6  -4.2717  2.2982    -8.3357 -0.5456
      7  -4.2250  2.1663    -7.8493 -0.5848
      8  -4.1909  2.0561    -7.3140 -0.6224
      9  -3.0143  2.0662    -7.1623 -0.3233
     10  -3.9418  1.8175    -7.4457 -1.0056
     11  -3.8723  1.6527    -6.7536 -1.1574
     12  -3.2550  1.5812    -6.1851 -0.8251
     13  -3.6658  1.3462    -6.0952 -1.7576
     14  -3.6176  1.2011    -5.6828 -1.9117
     15  -3.9779  1.0765    -5.8843 -2.6346
     16  -3.6497  0.9816    -5.2145 -2.4267
     17  -3.4097  0.9178    -4.7156 -2.2489
     18  -3.5895  0.8191    -4.8108 -2.6532
     19  -3.7647  0.7710    -4.9523 -2.9326

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0972  0.0613     0.0001  0.1894
      1   0.0922  0.0624     0.0001  0.1885
      2   0.0831  0.0640     0.0000  0.1869
      3   0.0543  0.0546     0.0000  0.1648
      4   0.0149  0.0187     0.0000  0.0493
      5   0.0030  0.0038     0.0000  0.0065
      6   0.0042  0.0039     0.0000  0.0068
      7   0.0053  0.0037     0.0000  0.0069
      8   0.0061  0.0033     0.0000  0.0073
      9   0.0056  0.0030     0.0000  0.0067
     10   0.0054  0.0032     0.0000  0.0067
     11   0.0061  0.0026     0.0000  0.0067
     12   0.0062  0.0026     0.0000  0.0067
     13   0.0064  0.0025     0.0000  0.0068
     14   0.0067  0.0021     0.0001  0.0068
     15   0.0068  0.0020     0.0001  0.0068
     16   0.0069  0.0021     0.0001  0.0069
     17   0.0069  0.0021     0.0001  0.0069
     18   0.0071  0.0021     0.0002  0.0070
     19   0.0071  0.0021     0.0002  0.0073

