Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4373  2.2658    -9.0838 -2.0531
      1  -3.5211  1.2229    -5.4215 -1.8600
      2  -2.4891  0.7908    -3.4227 -1.6685
      3  -2.9650  0.6353    -3.6371 -2.5713
      4  -2.6998  0.6763    -3.1965 -2.3792
      5  -2.5879  1.1038    -4.2762 -1.6176
      6  -2.4299  1.0745    -3.6405 -1.3856
      7  -2.4893  0.8525    -3.0686 -2.0398
      8  -2.4871  0.6693    -2.8979 -2.2521
      9  -2.4223  0.5414    -2.8069 -2.2447
     10  -2.4084  0.3998    -2.7799 -2.3264
     11  -2.4211  0.3522    -2.8080 -2.3841
     12  -2.4058  0.2577    -2.7749 -2.3845
     13  -2.4770  0.3745    -2.8752 -2.3884
     14  -2.5861  0.4464    -2.8982 -2.4046
     15  -2.6325  0.3990    -2.9009 -2.4455
     16  -2.6463  0.3239    -2.9005 -2.5216
     17  -2.6425  0.2467    -2.8989 -2.5634
     18  -2.6473  0.1949    -2.8983 -2.6427
     19  -2.6461  0.1518    -2.8974 -2.6451

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0590     0.0061  0.1898
      1   0.1012  0.0590     0.0060  0.1898
      2   0.1005  0.0592     0.0055  0.1897
      3   0.1003  0.0593     0.0049  0.1896
      4   0.0957  0.0601     0.0028  0.1888
      5   0.0456  0.0406     0.0001  0.1255
      6   0.0439  0.0395     0.0001  0.1223
      7   0.0535  0.0411     0.0001  0.1325
      8   0.0608  0.0415     0.0027  0.1391
      9   0.0679  0.0424     0.0067  0.1469
     10   0.0705  0.0416     0.0109  0.1483
     11   0.0756  0.0427     0.0136  0.1550
     12   0.0774  0.0421     0.0166  0.1559
     13   0.0543  0.0303     0.0103  0.1081
     14   0.0441  0.0238     0.0076  0.0845
     15   0.0460  0.0245     0.0084  0.0879
     16   0.0492  0.0250     0.0102  0.0916
     17   0.0509  0.0247     0.0126  0.0928
     18   0.0534  0.0248     0.0147  0.0952
     19   0.0546  0.0246     0.0161  0.0960

