Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.2371  1.3918    -7.0851 -5.5824
      1  -6.2367  0.9699    -7.3681 -5.4016
      2  -5.6810  0.8705    -6.4737 -4.8509
      3  -5.3063  1.0420    -6.0528 -3.1701
      4  -4.5668  1.6772    -6.5226 -0.9742
      5  -5.1370  1.0765    -6.2320 -3.2381
      6  -4.6894  1.4731    -7.2300 -1.6306
      7  -4.8501  1.1462    -6.3079 -2.9112
      8  -4.9908  0.9356    -6.0275 -3.9659
      9  -5.0663  0.7479    -5.9137 -4.5075
     10  -4.8579  0.9420    -5.9267 -3.9178
     11  -4.8740  0.7348    -5.7257 -4.2628
     12  -4.9183  0.5908    -5.6819 -4.4986
     13  -4.8620  0.4961    -5.4945 -4.4973
     14  -4.7691  0.4792    -5.3568 -4.4094
     15  -4.8066  0.3916    -5.3564 -4.5204
     16  -4.7491  0.3525    -5.2446 -4.5013
     17  -4.6268  0.5048    -5.2148 -4.2533
     18  -4.6522  0.4056    -5.2082 -4.3493
     19  -4.6351  0.3378    -5.1604 -4.3559

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0993  0.0601     0.0022  0.1896
      1   0.0978  0.0607     0.0013  0.1894
      2   0.0963  0.0613     0.0003  0.1892
      3   0.0879  0.0636     0.0001  0.1881
      4   0.0282  0.0335     0.0000  0.0965
      5   0.0382  0.0364     0.0000  0.1097
      6   0.0146  0.0145     0.0000  0.0398
      7   0.0173  0.0148     0.0000  0.0425
      8   0.0204  0.0155     0.0001  0.0467
      9   0.0228  0.0157     0.0001  0.0490
     10   0.0171  0.0120     0.0000  0.0361
     11   0.0180  0.0117     0.0001  0.0367
     12   0.0195  0.0117     0.0007  0.0383
     13   0.0212  0.0120     0.0014  0.0403
     14   0.0213  0.0120     0.0014  0.0405
     15   0.0229  0.0121     0.0024  0.0419
     16   0.0241  0.0126     0.0029  0.0444
     17   0.0179  0.0095     0.0010  0.0324
     18   0.0189  0.0095     0.0016  0.0331
     19   0.0199  0.0094     0.0023  0.0338

