trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1278 720.00  0.00 800.00  0.43  1
  1  664 370.00  0.00 800.00 260.00  1
  2  971 540.00  0.00 800.00 520.00  0
  3  701 390.00  0.00 800.00 520.00  0
  4  844 470.00  0.00 800.00 260.00  1
  5  593 330.00  0.00 800.00 520.00  0
  6  844 450.00  0.00 800.00 520.00  0
  7  844 480.00  0.00 800.00 520.00  0
  8  844 460.00  0.00 800.00 156.00  1
  9  844 480.00  0.00 800.00 156.00  1
 10  844 490.00  0.00 800.00 520.00  0
 11  844 470.00  0.00 800.00 520.00  0
 12  611 340.00  0.00 800.00 520.00  0
 13  611 340.00  0.00 800.00 260.00  1
 14  611 330.00  0.00 800.00 260.00  1
 15  611 350.00  0.00 800.00 260.00  1
 16  611 330.00  0.00 800.00 260.00  1
 17  611 320.00  0.00 800.00 260.00  0
 18  772 430.00  0.00 800.00 260.00  1
 19  683 380.00  0.00 800.00 520.00  0
