trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1264 710.00  0.00 800.00  3.00  1
  1  791 440.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  679 380.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  0
  5  785 440.00  0.00 800.00 21.50  0
  6  766 430.00  0.00 800.00 17.20  0
  7  747 420.00  0.00 800.00 12.90  0
  8  709 400.00  0.00 800.00  8.60  0
  9  689 390.00  0.00 800.00  4.30  1
 10  618 350.00  0.00 800.00  6.44  1
 11  637 360.00  0.00 800.00  8.60  1
 12  601 340.00  0.00 800.00  8.60  0
 13  456 260.00  0.00 800.00  6.44  1
 14  492 280.00  0.00 800.00  6.44  1
 15  782 440.00  0.00 800.00 10.80  0
 16  564 320.00  0.00 800.00  6.44  1
 17  799 450.00  0.00 800.00  8.60  0
 18  781 440.00  0.00 800.00  8.60  0
 19  636 360.00  0.00 800.00  6.44  0
