Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6141  2.7291    -9.0005 -0.4874
      1  -2.3021  1.4587    -4.5801 -0.2509
      2  -3.4573  0.8609    -4.6922 -2.4418
      3  -4.1196  0.6264    -4.8372 -3.6842
      4  -3.8325  0.4993    -4.3806 -3.5082
      5  -3.6666  0.4814    -4.1093 -3.3663
      6  -3.7120  0.3505    -4.1050 -3.6786
      7  -3.6866  0.2619    -3.9470 -3.6896
      8  -3.6817  0.1971    -3.9445 -3.6910
      9  -3.6797  0.1539    -3.9433 -3.6915
     10  -3.6790  0.1264    -3.9428 -3.6919
     11  -3.5593  0.3188    -3.9364 -3.2729
     12  -3.5586  0.2798    -3.9352 -3.2916
     13  -3.6059  0.1952    -3.9374 -3.4509
     14  -3.6654  0.1404    -3.9415 -3.5505
     15  -3.6650  0.1198    -3.9409 -3.5539
     16  -3.6723  0.0942    -3.9411 -3.6031
     17  -3.6816  0.0706    -3.9415 -3.6929
     18  -3.7247  0.3648    -4.1685 -3.5232
     19  -3.7016  0.3009    -4.1352 -3.5197

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0070  0.1898
      1   0.1020  0.0586     0.0071  0.1899
      2   0.1018  0.0588     0.0066  0.1899
      3   0.1013  0.0592     0.0056  0.1898
      4   0.1015  0.0586     0.0067  0.1897
      5   0.1013  0.0595     0.0060  0.1900
      6   0.1127  0.0561     0.0137  0.1916
      7   0.1207  0.0531     0.0219  0.1925
      8   0.1226  0.0517     0.0271  0.1927
      9   0.1238  0.0508     0.0303  0.1928
     10   0.1244  0.0503     0.0322  0.1928
     11   0.0628  0.0395     0.0084  0.1371
     12   0.0637  0.0393     0.0096  0.1376
     13   0.0696  0.0389     0.0149  0.1426
     14   0.0772  0.0402     0.0189  0.1517
     15   0.0779  0.0400     0.0202  0.1520
     16   0.0799  0.0394     0.0229  0.1532
     17   0.0830  0.0390     0.0261  0.1554
     18   0.0271  0.0131     0.0044  0.0474
     19   0.0286  0.0133     0.0062  0.0492

