Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6206  2.7262    -9.0012 -0.4953
      1  -2.4451  1.5238    -4.8461 -0.2703
      2  -3.7221  0.8570    -4.9685 -2.7006
      3  -4.2540  0.6182    -5.0624 -3.7072
      4  -3.9544  0.4545    -4.5007 -3.6250
      5  -4.1092  0.3752    -4.6025 -3.9552
      6  -4.2491  0.3573    -4.6994 -4.1133
      7  -4.2089  0.2501    -4.4764 -4.1071
      8  -4.2242  0.1878    -4.4762 -4.2235
      9  -4.2248  0.1448    -4.4757 -4.2252
     10  -4.2216  0.1069    -4.4741 -4.2253
     11  -4.3052  0.2622    -4.7224 -4.2289
     12  -4.3051  0.2161    -4.7201 -4.2310
     13  -4.2934  0.1742    -4.7070 -4.2307
     14  -4.2614  0.5460    -4.8115 -3.9974
     15  -4.2301  0.4298    -4.7082 -4.0035
     16  -4.2061  0.3436    -4.6601 -4.0045
     17  -4.2248  0.2800    -4.6633 -4.0516
     18  -4.2077  0.2267    -4.6047 -4.0467
     19  -4.2002  0.1839    -4.5545 -4.0469

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0070  0.1899
      1   0.1022  0.0584     0.0076  0.1899
      2   0.1014  0.0588     0.0066  0.1898
      3   0.1019  0.0585     0.0071  0.1898
      4   0.1041  0.0577     0.0097  0.1901
      5   0.1075  0.0568     0.0123  0.1907
      6   0.1067  0.0572     0.0116  0.1906
      7   0.1161  0.0542     0.0202  0.1919
      8   0.1229  0.0515     0.0280  0.1927
      9   0.1243  0.0504     0.0317  0.1928
     10   0.1252  0.0496     0.0347  0.1929
     11   0.0673  0.0395     0.0123  0.1417
     12   0.0686  0.0391     0.0144  0.1425
     13   0.0707  0.0387     0.0170  0.1438
     14   0.0258  0.0150     0.0012  0.0501
     15   0.0278  0.0149     0.0031  0.0521
     16   0.0297  0.0150     0.0053  0.0539
     17   0.0315  0.0151     0.0073  0.0558
     18   0.0333  0.0152     0.0084  0.0579
     19   0.0344  0.0151     0.0095  0.0589

