Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.0721  2.9060    -8.9281 -0.1903
      1  -3.6654  2.9505    -8.8430 -0.1349
      2  -3.1128  2.9300    -8.6853 -0.0973
      3  -2.4673  2.7765    -8.3856 -0.0744
      4  -1.8594  2.4801    -7.8146 -0.0615
      5  -1.3867  2.1086    -6.8002 -0.0544
      6  -2.9908  2.4943    -8.1879 -0.2219
      7  -2.6016  2.2784    -7.5132 -0.1966
      8  -4.2518  2.2424    -8.3658 -0.6520
      9  -4.2084  2.1008    -7.9891 -0.7388
     10  -4.1787  1.9826    -7.5878 -0.8275
     11  -4.9752  1.6634    -7.8054 -1.9718
     12  -5.0176  1.5398    -7.6091 -2.4347
     13  -4.3797  1.4033    -6.6358 -1.9357
     14  -4.7940  1.1825    -6.7735 -3.1589
     15  -4.4443  1.0665    -6.0828 -2.9394
     16  -4.4445  0.9705    -5.9858 -3.0800
     17  -4.1305  0.9321    -5.5088 -2.7617
     18  -4.3798  0.7930    -5.6446 -3.3684
     19  -4.1666  0.7582    -5.3068 -3.1902

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0019  0.0057     0.0000  0.0085
      1   0.0032  0.0073     0.0000  0.0136
      2   0.0049  0.0087     0.0000  0.0190
      3   0.0070  0.0097     0.0000  0.0229
      4   0.0090  0.0102     0.0000  0.0258
      5   0.0106  0.0103     0.0000  0.0274
      6   0.0046  0.0038     0.0000  0.0068
      7   0.0056  0.0035     0.0000  0.0069
      8   0.0040  0.0035     0.0000  0.0065
      9   0.0051  0.0033     0.0000  0.0066
     10   0.0059  0.0028     0.0000  0.0067
     11   0.0060  0.0027     0.0000  0.0067
     12   0.0065  0.0022     0.0001  0.0067
     13   0.0065  0.0022     0.0001  0.0067
     14   0.0066  0.0020     0.0001  0.0067
     15   0.0067  0.0020     0.0001  0.0068
     16   0.0069  0.0016     0.0002  0.0068
     17   0.0069  0.0016     0.0002  0.0068
     18   0.0070  0.0016     0.0003  0.0068
     19   0.0070  0.0017     0.0003  0.0068

