  0 1303 730.00  0.00 800.00  8.60  1
  1  971 540.00  0.00 800.00 520.00  0
  2  754 420.00  0.00 800.00 260.00  0
  3  753 420.00  0.00 800.00 156.00  0
  4  788 440.00  0.00 800.00 104.00  1
  5  788 460.00  0.00 800.00 52.00  1
  6  753 420.00  0.00 800.00 156.00  0
  7  645 360.00  0.00 800.00 156.00  0
  8  663 370.00  0.00 800.00 156.00  0
  9  662 370.00  0.00 800.00 104.00  1
 10  663 350.00  0.00 800.00 260.00  0
 11  663 370.00  0.00 800.00 260.00  0
 12  663 350.00  0.00 800.00 260.00  0
 13  663 390.00  0.00 800.00 260.00  0
 14  663 360.00  0.00 800.00 104.00  1
 15  663 350.00  0.00 800.00 260.00  0
 16  663 370.00  0.00 800.00 260.00  0
 17  663 380.00  0.00 800.00 260.00  0
 18  663 360.00  0.00 800.00 260.00  0
 19  663 370.00  0.00 800.00 104.00  1
