Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.1139  1.4216    -4.1780 -0.2270
      1  -1.1967  1.0602    -2.3674 -0.1317
      2  -0.6753  0.9156    -1.4332 -0.0779
      3  -0.3928  0.8302    -0.9026 -0.0499
      4  -0.4920  0.7200    -0.9457 -0.2549
      5  -0.6212  0.6976    -1.0299 -0.3799
      6  -0.5845  0.5180    -0.9999 -0.3884
      7  -0.5652  0.3903    -0.9832 -0.3944
      8  -0.5554  0.3022    -0.9734 -0.3999
      9  -0.8289  0.6250    -1.5095 -0.5455
     10  -0.9082  0.5730    -1.5801 -0.6119
     11  -1.2190  0.8347    -2.3437 -0.8000
     12  -1.6548  1.1029    -3.4470 -0.8980
     13  -1.4409  0.8814    -2.5169 -0.8716
     14  -1.8693  1.1782    -3.7564 -1.0744
     15  -1.7672  0.9362    -3.0820 -1.0791
     16  -1.6170  0.7692    -2.5882 -1.0626
     17  -1.5142  0.6358    -2.3192 -1.0237
     18  -1.4303  0.5419    -2.1103 -0.9776
     19  -1.6059  0.6385    -2.3462 -1.1122

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0596     0.0031  0.1896
      1   0.1008  0.0593     0.0044  0.1897
      2   0.1017  0.0588     0.0060  0.1898
      3   0.1039  0.0581     0.0085  0.1902
      4   0.1056  0.0576     0.0103  0.1904
      5   0.1046  0.0578     0.0096  0.1903
      6   0.1065  0.0568     0.0133  0.1904
      7   0.1076  0.0561     0.0156  0.1906
      8   0.1085  0.0555     0.0172  0.1906
      9   0.0462  0.0336     0.0042  0.1103
     10   0.0477  0.0352     0.0043  0.1158
     11   0.0238  0.0162     0.0011  0.0520
     12   0.0139  0.0088     0.0001  0.0272
     13   0.0157  0.0091     0.0005  0.0296
     14   0.0106  0.0060     0.0001  0.0189
     15   0.0110  0.0058     0.0003  0.0190
     16   0.0119  0.0059     0.0005  0.0198
     17   0.0128  0.0060     0.0007  0.0204
     18   0.0136  0.0061     0.0010  0.0210
     19   0.0120  0.0056     0.0006  0.0193

