Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4300  1.3080    -2.9605 -0.1489
      1  -0.7942  1.2136    -2.0468 -0.0798
      2  -1.1908  1.2061    -2.9001 -0.6326
      3  -1.3681  1.2083    -3.3361 -0.9066
      4  -1.9738  1.7589    -6.8742 -1.0055
      5  -2.8598  2.1683    -8.1550 -1.0386
      6  -2.4678  1.7979    -7.2212 -1.1010
      7  -2.0829  1.4452    -5.7006 -1.1042
      8  -1.8364  1.2046    -3.8323 -1.0914
      9  -1.6634  1.0234    -2.5919 -1.0730
     10  -1.7808  0.9875    -2.6705 -1.2542
     11  -2.2277  1.4515    -6.1024 -1.3266
     12  -2.0487  1.1177    -3.6104 -1.3494
     13  -1.9472  0.8580    -2.8627 -1.3620
     14  -2.3623  1.2684    -5.1240 -1.4326
     15  -2.2359  0.9918    -3.4886 -1.4699
     16  -2.1653  0.7893    -3.1947 -1.4907
     17  -2.0591  0.6642    -2.9006 -1.4561
     18  -2.3310  0.8775    -3.3855 -1.6179
     19  -2.2798  0.7085    -3.2414 -1.6289

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0973  0.0609     0.0001  0.1893
      1   0.0980  0.0607     0.0001  0.1894
      2   0.0941  0.0617     0.0001  0.1888
      3   0.0936  0.0625     0.0001  0.1890
      4   0.0399  0.0406     0.0000  0.1209
      5   0.0123  0.0138     0.0000  0.0364
      6   0.0146  0.0140     0.0000  0.0390
      7   0.0175  0.0146     0.0000  0.0422
      8   0.0205  0.0153     0.0001  0.0464
      9   0.0232  0.0161     0.0001  0.0505
     10   0.0230  0.0156     0.0001  0.0490
     11   0.0134  0.0097     0.0000  0.0276
     12   0.0144  0.0093     0.0001  0.0282
     13   0.0150  0.0091     0.0003  0.0286
     14   0.0094  0.0059     0.0000  0.0178
     15   0.0100  0.0056     0.0001  0.0180
     16   0.0103  0.0054     0.0003  0.0182
     17   0.0111  0.0056     0.0005  0.0191
     18   0.0086  0.0041     0.0001  0.0134
     19   0.0088  0.0040     0.0003  0.0134

