Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.8927  2.0126    -9.1300 -2.9290
      1  -4.2256  1.1053    -5.9477 -2.7557
      2  -5.0019  0.7260    -6.0226 -4.2507
      3  -4.5970  0.5452    -5.2561 -4.2123
      4  -4.3299  0.4822    -4.8373 -4.0218
      5  -4.1787  0.4775    -4.6343 -3.8576
      6  -3.8967  0.8636    -4.6372 -2.7191
      7  -3.5072  1.2120    -5.2583 -1.6153
      8  -3.0605  1.6051    -6.8589 -0.7880
      9  -2.9123  1.3519    -4.9811 -0.8471
     10  -2.3982  1.7250    -6.5582 -0.3605
     11  -2.2029  1.4543    -4.5352 -0.3549
     12  -1.7272  1.5673    -5.0416 -0.1893
     13  -1.5651  1.3046    -3.4828 -0.1832
     14  -1.9734  1.2316    -3.6823 -0.4812
     15  -1.8914  1.0561    -3.4083 -0.4831
     16  -2.2062  0.9521    -3.5731 -0.9750
     17  -1.9167  0.9608    -3.2141 -0.7171
     18  -2.1248  0.8682    -3.3287 -1.1161
     19  -2.2722  0.7794    -3.3906 -1.4086

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0591     0.0056  0.1898
      1   0.1014  0.0591     0.0056  0.1899
      2   0.1020  0.0589     0.0062  0.1899
      3   0.1033  0.0585     0.0075  0.1902
      4   0.1031  0.0588     0.0072  0.1902
      5   0.1020  0.0594     0.0063  0.1901
      6   0.0411  0.0362     0.0001  0.1117
      7   0.0166  0.0141     0.0000  0.0407
      8   0.0087  0.0066     0.0000  0.0184
      9   0.0096  0.0064     0.0000  0.0188
     10   0.0066  0.0039     0.0000  0.0112
     11   0.0072  0.0035     0.0000  0.0115
     12   0.0065  0.0029     0.0000  0.0076
     13   0.0070  0.0025     0.0001  0.0080
     14   0.0071  0.0027     0.0001  0.0095
     15   0.0073  0.0024     0.0002  0.0097
     16   0.0075  0.0026     0.0002  0.0106
     17   0.0074  0.0025     0.0002  0.0100
     18   0.0075  0.0027     0.0002  0.0108
     19   0.0077  0.0028     0.0003  0.0114

