Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5084  1.6191    -4.9412 -0.2673
      1  -3.7866  1.0083    -5.1635 -2.6896
      2  -3.0890  0.7674    -3.8727 -2.5390
      3  -3.3739  0.7014    -4.0678 -2.9995
      4  -3.2006  0.6367    -3.6573 -2.9222
      5  -3.1997  0.4761    -3.6275 -2.9996
      6  -3.1770  0.3442    -3.5868 -3.0081
      7  -3.1770  0.2614    -3.5779 -3.0429
      8  -3.1707  0.2020    -3.5635 -3.0455
      9  -3.1970  0.1673    -3.5926 -3.1755
     10  -3.1938  0.1349    -3.5841 -3.1756
     11  -3.2204  0.1481    -3.6358 -3.1796
     12  -3.2182  0.1307    -3.6322 -3.1797
     13  -3.2222  0.1247    -3.6361 -3.1807
     14  -3.2204  0.1174    -3.6328 -3.1806
     15  -3.2313  0.1222    -3.6432 -3.1818
     16  -3.2299  0.1188    -3.6411 -3.1817
     17  -3.2311  0.1186    -3.6419 -3.1819
     18  -3.2307  0.1177    -3.6413 -3.1818
     19  -3.2709  0.1337    -3.6618 -3.1862

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0598     0.0036  0.1896
      1   0.0985  0.0601     0.0030  0.1894
      2   0.0986  0.0603     0.0023  0.1895
      3   0.0985  0.0600     0.0025  0.1894
      4   0.0996  0.0592     0.0031  0.1893
      5   0.1057  0.0567     0.0105  0.1901
      6   0.1081  0.0552     0.0164  0.1903
      7   0.1107  0.0538     0.0212  0.1906
      8   0.1116  0.0532     0.0233  0.1907
      9   0.1192  0.0524     0.0273  0.1923
     10   0.1199  0.0518     0.0290  0.1924
     11   0.1154  0.0523     0.0275  0.1915
     12   0.1160  0.0519     0.0287  0.1915
     13   0.1195  0.0512     0.0314  0.1922
     14   0.1201  0.0508     0.0328  0.1922
     15   0.1220  0.0508     0.0341  0.1928
     16   0.1225  0.0505     0.0352  0.1928
     17   0.1242  0.0499     0.0369  0.1931
     18   0.1244  0.0498     0.0372  0.1931
     19   0.1158  0.0505     0.0344  0.1914

