Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.4231  1.6466    -4.8445 -0.2543
      1  -1.2074  1.0858    -2.3745 -0.1320
      2  -0.5886  0.9953    -1.3070 -0.0655
      3  -0.8258  0.9310    -1.4923 -0.4135
      4  -0.6684  0.9054    -1.0561 -0.3251
      5  -1.2207  1.6291    -5.6810 -0.3879
      6  -1.2082  1.4638    -4.8277 -0.5768
      7  -2.1567  2.2325    -7.8876 -0.5759
      8  -1.7299  1.8217    -6.7799 -0.5822
      9  -1.4540  1.4332    -4.7244 -0.5863
     10  -1.2186  1.1676    -2.6695 -0.5694
     11  -1.8325  1.7096    -6.5245 -0.6335
     12  -1.5907  1.3432    -4.3115 -0.6425
     13  -1.4514  1.0535    -2.8200 -0.6479
     14  -1.3022  0.8658    -2.2937 -0.6163
     15  -1.6740  1.1666    -3.3118 -0.8053
     16  -1.5733  0.9231    -2.7293 -0.8104
     17  -1.4520  0.7724    -2.3748 -0.7734
     18  -1.7427  0.9738    -2.8727 -0.9494
     19  -1.6771  0.7815    -2.6829 -0.9577

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0985  0.0602     0.0031  0.1895
      1   0.1000  0.0597     0.0036  0.1896
      2   0.0999  0.0596     0.0032  0.1896
      3   0.0981  0.0599     0.0029  0.1892
      4   0.0986  0.0591     0.0039  0.1891
      5   0.0477  0.0447     0.0000  0.1376
      6   0.0565  0.0488     0.0000  0.1516
      7   0.0135  0.0152     0.0000  0.0406
      8   0.0158  0.0153     0.0000  0.0429
      9   0.0173  0.0152     0.0000  0.0444
     10   0.0203  0.0159     0.0001  0.0479
     11   0.0097  0.0072     0.0000  0.0201
     12   0.0105  0.0070     0.0001  0.0204
     13   0.0110  0.0067     0.0001  0.0206
     14   0.0120  0.0070     0.0004  0.0223
     15   0.0087  0.0047     0.0001  0.0138
     16   0.0091  0.0045     0.0002  0.0139
     17   0.0096  0.0046     0.0004  0.0155
     18   0.0080  0.0036     0.0001  0.0125
     19   0.0082  0.0034     0.0003  0.0126

