Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1382  1.5896    -5.1464 -0.0992
      1  -1.5223  1.5335    -5.5968 -0.7210
      2  -2.0307  1.7774    -7.0439 -1.1235
      3  -3.1216  2.3576    -8.4598 -1.3122
      4  -2.1128  1.5796    -6.4920 -1.2678
      5  -2.8741  2.0389    -8.0293 -1.2425
      6  -2.4900  1.6283    -6.8432 -1.3536
      7  -2.1752  1.3002    -5.1247 -1.3687
      8  -1.9806  1.0559    -3.1653 -1.3683
      9  -2.1061  1.0281    -3.3058 -1.5893
     10  -1.9762  0.8703    -2.6199 -1.5619
     11  -2.2103  1.1109    -3.9321 -1.6243
     12  -3.4130  2.2474    -8.4873 -0.9815
     13  -3.0359  1.9281    -7.9773 -1.2938
     14  -2.7384  1.5712    -6.9855 -1.4923
     15  -2.5407  1.2414    -5.1619 -1.6035
     16  -2.4232  0.9766    -3.7153 -1.6353
     17  -2.3584  0.7861    -3.4355 -1.6528
     18  -2.2484  0.6670    -3.1489 -1.6273
     19  -2.1697  0.5712    -2.9806 -1.6077

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0922  0.0628     0.0001  0.1886
      1   0.0899  0.0630     0.0001  0.1881
      2   0.0797  0.0643     0.0000  0.1861
      3   0.0347  0.0444     0.0000  0.1336
      4   0.0502  0.0489     0.0000  0.1509
      5   0.0163  0.0185     0.0000  0.0499
      6   0.0193  0.0188     0.0000  0.0531
      7   0.0231  0.0194     0.0000  0.0574
      8   0.0267  0.0201     0.0001  0.0616
      9   0.0257  0.0189     0.0001  0.0583
     10   0.0292  0.0200     0.0002  0.0634
     11   0.0214  0.0148     0.0001  0.0457
     12   0.0050  0.0057     0.0000  0.0128
     13   0.0065  0.0057     0.0000  0.0135
     14   0.0077  0.0055     0.0000  0.0139
     15   0.0085  0.0051     0.0000  0.0146
     16   0.0090  0.0049     0.0001  0.0150
     17   0.0093  0.0047     0.0003  0.0153
     18   0.0099  0.0049     0.0004  0.0168
     19   0.0105  0.0051     0.0005  0.0178

