Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6202  2.7265    -9.0012 -0.4939
      1  -2.3076  1.4580    -4.5815 -0.2545
      2  -3.4502  0.8667    -4.6923 -2.4316
      3  -2.7981  0.6250    -3.5084 -2.3114
      4  -2.5108  0.5726    -3.0412 -2.1433
      5  -2.3495  0.5653    -2.8054 -1.9178
      6  -2.0869  0.9563    -2.8071 -0.8728
      7  -2.2261  0.7318    -2.7521 -1.7413
      8  -2.1240  0.6646    -2.5917 -1.6339
      9  -2.1399  0.4886    -2.5737 -1.8980
     10  -2.0552  0.8508    -2.6091 -1.4272
     11  -1.9709  1.3152    -4.8548 -0.8599
     12  -1.8305  1.0152    -2.6287 -0.8827
     13  -1.8634  0.8161    -2.5244 -1.2050
     14  -1.8841  0.6532    -2.4668 -1.4147
     15  -1.9011  0.5264    -2.4384 -1.5903
     16  -1.8312  0.8585    -2.5267 -1.2973
     17  -1.8024  0.6749    -2.4047 -1.3645
     18  -1.8016  0.5451    -2.3705 -1.4281
     19  -1.7575  0.4439    -2.3174 -1.4202

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0070  0.1899
      1   0.1022  0.0586     0.0073  0.1899
      2   0.1015  0.0588     0.0064  0.1898
      3   0.1008  0.0589     0.0062  0.1896
      4   0.1005  0.0592     0.0058  0.1897
      5   0.0988  0.0595     0.0052  0.1893
      6   0.0441  0.0401     0.0001  0.1250
      7   0.0548  0.0419     0.0015  0.1365
      8   0.0598  0.0447     0.0022  0.1466
      9   0.0648  0.0441     0.0058  0.1498
     10   0.0298  0.0218     0.0003  0.0683
     11   0.0150  0.0113     0.0000  0.0334
     12   0.0159  0.0111     0.0001  0.0338
     13   0.0179  0.0114     0.0004  0.0362
     14   0.0197  0.0116     0.0011  0.0383
     15   0.0213  0.0117     0.0018  0.0399
     16   0.0143  0.0080     0.0002  0.0261
     17   0.0152  0.0079     0.0007  0.0266
     18   0.0161  0.0079     0.0012  0.0272
     19   0.0170  0.0080     0.0016  0.0279

