Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7459  2.0942    -9.1151 -2.6478
      1  -3.9608  1.1324    -5.6999 -2.4648
      2  -3.0601  0.7527    -3.9732 -2.3663
      3  -2.6401  0.6574    -3.2600 -2.1497
      4  -2.8209  0.5326    -3.3420 -2.6107
      5  -2.9575  0.5006    -3.4214 -2.7493
      6  -2.9030  0.3712    -3.1625 -2.7445
      7  -2.9184  0.2814    -3.1621 -2.9077
      8  -3.3982  1.2321    -6.3765 -2.5494
      9  -3.2965  0.9549    -4.7561 -2.7158
     10  -3.1808  0.7574    -3.9559 -2.7471
     11  -3.1081  0.5989    -3.6640 -2.7640
     12  -3.0152  0.6234    -3.5517 -2.6743
     13  -2.9503  0.5466    -3.4071 -2.6588
     14  -2.9602  0.4264    -3.4005 -2.7440
     15  -2.9237  0.3496    -3.3562 -2.7360
     16  -2.9592  0.3381    -3.3849 -2.8832
     17  -2.9269  0.2792    -3.3333 -2.8639
     18  -2.9128  0.2182    -3.2807 -2.8746
     19  -2.9060  0.1715    -3.2350 -2.8895

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0591     0.0057  0.1898
      1   0.1007  0.0592     0.0053  0.1897
      2   0.1000  0.0593     0.0050  0.1895
      3   0.0998  0.0595     0.0047  0.1896
      4   0.1050  0.0582     0.0079  0.1904
      5   0.1036  0.0582     0.0081  0.1901
      6   0.1138  0.0550     0.0166  0.1915
      7   0.1216  0.0523     0.0248  0.1926
      8   0.0217  0.0186     0.0000  0.0542
      9   0.0235  0.0183     0.0001  0.0551
     10   0.0267  0.0185     0.0001  0.0587
     11   0.0295  0.0187     0.0014  0.0613
     12   0.0288  0.0185     0.0011  0.0605
     13   0.0313  0.0195     0.0020  0.0648
     14   0.0339  0.0195     0.0041  0.0671
     15   0.0365  0.0200     0.0062  0.0704
     16   0.0371  0.0199     0.0070  0.0707
     17   0.0399  0.0206     0.0082  0.0745
     18   0.0419  0.0205     0.0097  0.0762
     19   0.0433  0.0204     0.0113  0.0774

