Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.3783  2.2964    -9.0777 -1.9389
      1  -3.3407  1.1935    -5.1731 -1.7259
      2  -4.2487  0.7576    -5.2556 -3.4639
      3  -4.7773  0.6334    -5.4934 -4.3518
      4  -4.9546  0.5913    -5.6524 -4.7423
      5  -5.1324  0.6466    -6.1373 -4.9038
      6  -5.0065  0.3505    -5.3611 -4.8960
      7  -5.0240  0.2790    -5.3514 -5.0122
      8  -5.0039  0.1848    -5.2588 -5.0122
      9  -5.0011  0.1317    -5.2565 -5.0126
     10  -5.0023  0.0983    -5.2564 -5.0134
     11  -5.0764  0.5593    -5.6354 -4.8783
     12  -5.1881  0.7036    -5.9780 -4.9270
     13  -5.1637  0.5343    -5.6980 -5.0067
     14  -5.2250  0.4942    -5.7377 -5.0325
     15  -5.2605  0.4184    -5.7377 -5.0768
     16  -5.2435  0.3158    -5.5910 -5.0810
     17  -5.2611  0.2525    -5.5777 -5.1464
     18  -5.2481  0.2050    -5.5238 -5.1312
     19  -5.2615  0.1614    -5.5237 -5.2616

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0588     0.0064  0.1898
      1   0.1013  0.0590     0.0060  0.1898
      2   0.1011  0.0591     0.0057  0.1898
      3   0.0991  0.0597     0.0042  0.1895
      4   0.1018  0.0593     0.0050  0.1900
      5   0.0986  0.0604     0.0039  0.1896
      6   0.1126  0.0559     0.0139  0.1915
      7   0.1198  0.0533     0.0212  0.1924
      8   0.1270  0.0496     0.0340  0.1931
      9   0.1290  0.0480     0.0399  0.1933
     10   0.1296  0.0474     0.0418  0.1933
     11   0.0399  0.0259     0.0016  0.0849
     12   0.0313  0.0224     0.0001  0.0699
     13   0.0343  0.0221     0.0018  0.0724
     14   0.0367  0.0239     0.0023  0.0789
     15   0.0402  0.0252     0.0036  0.0845
     16   0.0431  0.0249     0.0072  0.0869
     17   0.0462  0.0254     0.0087  0.0902
     18   0.0497  0.0258     0.0113  0.0946
     19   0.0530  0.0261     0.0139  0.0980

