Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.3760  1.3651    -6.4551 -5.6296
      1  -6.3361  0.9849    -7.3902 -5.1304
      2  -6.7601  0.8865    -7.5980 -6.3274
      3  -6.9404  0.7861    -7.7217 -6.6913
      4  -7.1045  0.7966    -8.0657 -6.9052
      5  -7.3125  1.2854    -8.9941 -5.2712
      6  -7.2150  1.0427    -8.3906 -6.7083
      7  -7.0016  1.1357    -8.0214 -5.3934
      8  -6.9722  0.9808    -7.6241 -6.4621
      9  -7.0019  0.7801    -7.5249 -6.8641
     10  -7.0603  0.5723    -7.5050 -6.9780
     11  -7.0955  0.4311    -7.4998 -7.1109
     12  -7.0908  0.3341    -7.3666 -7.1114
     13  -7.0935  0.2510    -7.3616 -7.1122
     14  -7.1034  0.1866    -7.3616 -7.1172
     15  -7.1028  0.1412    -7.3589 -7.1174
     16  -7.1047  0.1025    -7.3588 -7.1177
     17  -7.1057  0.0763    -7.3588 -7.1179
     18  -7.1063  0.0591    -7.3587 -7.1181
     19  -7.1066  0.0480    -7.3587 -7.1183

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0597     0.0013  0.1900
      1   0.0984  0.0613     0.0001  0.1897
      2   0.1019  0.0604     0.0001  0.1902
      3   0.1042  0.0592     0.0026  0.1904
      4   0.1011  0.0603     0.0024  0.1901
      5   0.0465  0.0422     0.0001  0.1311
      6   0.0577  0.0443     0.0001  0.1427
      7   0.0542  0.0419     0.0001  0.1327
      8   0.0628  0.0438     0.0001  0.1434
      9   0.0703  0.0437     0.0018  0.1494
     10   0.0743  0.0423     0.0097  0.1512
     11   0.0792  0.0415     0.0160  0.1544
     12   0.0848  0.0411     0.0218  0.1587
     13   0.0884  0.0404     0.0263  0.1610
     14   0.0924  0.0397     0.0310  0.1635
     15   0.0959  0.0392     0.0351  0.1657
     16   0.0960  0.0390     0.0355  0.1658
     17   0.0962  0.0389     0.0360  0.1659
     18   0.0963  0.0388     0.0363  0.1659
     19   0.0965  0.0387     0.0366  0.1660

