Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3803  1.5353    -4.7236 -0.2549
      1  -3.5245  0.9381    -4.9021 -2.4409
      2  -2.9516  0.7243    -3.7279 -2.3871
      3  -2.5712  0.7150    -3.1322 -2.1739
      4  -2.7313  0.6681    -3.2460 -2.4665
      5  -2.6967  1.0081    -3.9504 -2.1368
      6  -2.7570  0.8854    -3.5209 -2.4093
      7  -2.8405  1.4141    -6.6923 -1.8085
      8  -2.7119  1.0994    -4.8009 -2.1703
      9  -2.6156  1.0841    -4.5337 -2.1143
     10  -2.5427  0.8277    -3.0836 -2.2433
     11  -2.4665  0.6931    -2.8651 -2.2393
     12  -2.4168  0.5409    -2.7537 -2.2554
     13  -2.4091  0.4102    -2.7245 -2.3788
     14  -2.3889  0.3083    -2.6350 -2.3795
     15  -2.3855  0.2265    -2.6342 -2.3828
     16  -2.3777  0.1695    -2.6296 -2.3831
     17  -2.3609  0.3976    -2.6305 -2.1753
     18  -2.3169  0.7376    -2.6359 -1.9533
     19  -2.3057  0.5771    -2.6308 -2.1103

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0591     0.0044  0.1898
      1   0.1014  0.0592     0.0041  0.1898
      2   0.1020  0.0589     0.0050  0.1899
      3   0.0995  0.0596     0.0030  0.1895
      4   0.1002  0.0590     0.0037  0.1894
      5   0.0649  0.0499     0.0001  0.1598
      6   0.0736  0.0518     0.0001  0.1684
      7   0.0348  0.0313     0.0000  0.0912
      8   0.0395  0.0308     0.0000  0.0945
      9   0.0413  0.0322     0.0001  0.0993
     10   0.0453  0.0316     0.0001  0.1020
     11   0.0510  0.0330     0.0021  0.1094
     12   0.0558  0.0331     0.0065  0.1140
     13   0.0598  0.0325     0.0109  0.1167
     14   0.0632  0.0322     0.0147  0.1195
     15   0.0647  0.0316     0.0174  0.1204
     16   0.0674  0.0314     0.0205  0.1226
     17   0.0408  0.0204     0.0084  0.0745
     18   0.0247  0.0133     0.0008  0.0454
     19   0.0265  0.0130     0.0031  0.0467

