Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1244  1.8960    -9.1542 -3.3785
      1  -4.5982  1.0849    -6.2395 -3.2246
      2  -3.8000  0.7588    -4.7245 -3.0618
      3  -4.2227  0.5742    -4.8736 -3.8259
      4  -4.3855  0.4890    -4.9548 -4.1843
      5  -4.2282  0.4426    -4.6650 -4.0519
      6  -4.1993  0.3347    -4.4746 -4.0592
      7  -4.0419  0.6928    -4.5106 -3.5997
      8  -3.9479  0.6565    -4.4454 -3.4919
      9  -3.9887  0.4891    -4.4343 -3.8077
     10  -3.9787  0.3690    -4.4160 -3.8415
     11  -3.9739  0.2865    -4.4056 -3.8635
     12  -3.9713  0.2318    -4.3980 -3.8802
     13  -3.6976  0.8358    -4.4276 -2.6550
     14  -3.3459  1.3373    -5.9710 -1.2924
     15  -3.4484  1.0586    -4.6430 -2.1315
     16  -3.3994  0.8645    -4.3024 -2.2814
     17  -3.4968  0.6915    -4.2611 -2.7093
     18  -3.2557  1.0010    -4.3768 -2.1338
     19  -3.2075  0.8188    -4.1623 -2.2204

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1006  0.0593     0.0050  0.1897
      1   0.1002  0.0594     0.0047  0.1897
      2   0.1001  0.0596     0.0045  0.1897
      3   0.1009  0.0591     0.0052  0.1897
      4   0.1041  0.0585     0.0072  0.1903
      5   0.1066  0.0577     0.0088  0.1907
      6   0.1148  0.0550     0.0168  0.1918
      7   0.0540  0.0393     0.0001  0.1273
      8   0.0546  0.0396     0.0007  0.1290
      9   0.0614  0.0393     0.0050  0.1346
     10   0.0631  0.0387     0.0086  0.1355
     11   0.0642  0.0383     0.0107  0.1361
     12   0.0651  0.0380     0.0126  0.1366
     13   0.0170  0.0109     0.0001  0.0340
     14   0.0088  0.0059     0.0000  0.0170
     15   0.0099  0.0060     0.0000  0.0183
     16   0.0104  0.0057     0.0001  0.0185
     17   0.0114  0.0058     0.0003  0.0193
     18   0.0080  0.0040     0.0001  0.0128
     19   0.0084  0.0038     0.0001  0.0129

