Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1422  2.4943    -8.2219 -0.4331
      1  -6.2236  1.3998    -8.6131 -4.3578
      2  -5.1208  0.7914    -6.2737 -4.2555
      3  -5.6539  0.5761    -6.3560 -5.2685
      4  -5.3723  0.4927    -5.9123 -5.0846
      5  -5.2225  0.4748    -5.6981 -4.9682
      6  -4.9155  0.8573    -5.6527 -3.7717
      7  -4.4826  1.2329    -5.9490 -2.0823
      8  -4.6794  0.9252    -5.6309 -3.5342
      9  -4.7937  0.7527    -5.5372 -4.1654
     10  -4.8675  0.6163    -5.5210 -4.4858
     11  -4.9691  0.5917    -5.6245 -4.6190
     12  -5.1085  0.8943    -6.1076 -4.4677
     13  -5.1309  0.6912    -5.9624 -4.7000
     14  -5.1009  0.5540    -5.7609 -4.7506
     15  -5.0793  0.4491    -5.6741 -4.7603
     16  -5.1148  0.3725    -5.6782 -4.8249
     17  -5.1953  0.3744    -5.7448 -4.9713
     18  -5.1738  0.3105    -5.6832 -4.9709
     19  -5.2187  0.2770    -5.7101 -5.0269

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0586     0.0068  0.1898
      1   0.1024  0.0584     0.0073  0.1899
      2   0.1019  0.0587     0.0067  0.1899
      3   0.1024  0.0584     0.0075  0.1899
      4   0.1028  0.0585     0.0075  0.1900
      5   0.1018  0.0588     0.0070  0.1899
      6   0.0421  0.0364     0.0001  0.1129
      7   0.0168  0.0147     0.0000  0.0418
      8   0.0200  0.0152     0.0001  0.0458
      9   0.0229  0.0159     0.0001  0.0495
     10   0.0255  0.0163     0.0007  0.0530
     11   0.0262  0.0168     0.0009  0.0545
     12   0.0166  0.0111     0.0001  0.0337
     13   0.0174  0.0107     0.0001  0.0340
     14   0.0189  0.0108     0.0009  0.0355
     15   0.0202  0.0108     0.0016  0.0371
     16   0.0215  0.0109     0.0025  0.0386
     17   0.0212  0.0107     0.0023  0.0380
     18   0.0224  0.0108     0.0034  0.0393
     19   0.0236  0.0112     0.0041  0.0408

