Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6541  1.2982    -3.3163 -0.1760
      1  -0.8787  1.1339    -1.8706 -0.0926
      2  -0.5069  1.1098    -1.2443 -0.0525
      3  -0.3220  1.0008    -0.7525 -0.0371
      4  -0.4417  0.9906    -0.7964 -0.1463
      5  -0.3480  0.7515    -0.5354 -0.1384
      6  -0.3270  0.5730    -0.5332 -0.2774
      7  -0.3020  0.4160    -0.5314 -0.2789
      8  -0.2829  0.3014    -0.5255 -0.2789
      9  -0.2766  0.2186    -0.5250 -0.2799
     10  -0.2780  0.1624    -0.5250 -0.2847
     11  -0.2762  0.1181    -0.5248 -0.2850
     12  -0.2747  0.0851    -0.5245 -0.2850
     13  -0.2743  0.0639    -0.5244 -0.2851
     14  -0.2727  0.0461    -0.5231 -0.2851
     15  -0.2725  0.0351    -0.5230 -0.2851
     16  -0.2723  0.0280    -0.5229 -0.2851
     17  -0.2724  0.0233    -0.5229 -0.2852
     18  -0.2724  0.0204    -0.5229 -0.2852
     19  -0.2723  0.0186    -0.5228 -0.2852

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0988  0.0602     0.0005  0.1895
      1   0.0993  0.0601     0.0005  0.1896
      2   0.0997  0.0597     0.0009  0.1895
      3   0.1043  0.0584     0.0053  0.1903
      4   0.1033  0.0591     0.0043  0.1903
      5   0.1125  0.0562     0.0140  0.1915
      6   0.1209  0.0531     0.0226  0.1926
      7   0.1228  0.0516     0.0280  0.1927
      8   0.1274  0.0491     0.0362  0.1931
      9   0.1283  0.0482     0.0390  0.1932
     10   0.1331  0.0459     0.0471  0.1937
     11   0.1335  0.0454     0.0487  0.1938
     12   0.1338  0.0452     0.0494  0.1938
     13   0.1340  0.0450     0.0500  0.1938
     14   0.1374  0.0433     0.0560  0.1942
     15   0.1375  0.0432     0.0562  0.1942
     16   0.1376  0.0431     0.0565  0.1942
     17   0.1377  0.0429     0.0570  0.1942
     18   0.1378  0.0428     0.0573  0.1942
     19   0.1379  0.0427     0.0577  0.1942

