Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9737  2.5262    -9.0369 -1.1658
      1  -7.0343  1.4043    -7.9512 -5.1278
      2  -5.8941  0.8487    -7.0814 -5.0208
      3  -5.3423  0.6494    -6.0554 -4.8248
      4  -5.0510  0.6133    -5.6513 -4.5758
      5  -5.2615  0.4707    -5.7533 -5.0724
      6  -5.3342  1.7278    -8.1890 -1.4907
      7  -5.4679  1.4314    -7.7287 -2.3870
      8  -5.5556  1.1848    -7.3500 -3.6404
      9  -5.4808  0.9722    -6.7264 -4.1574
     10  -5.6113  0.7803    -6.6933 -4.8507
     11  -5.5392  0.6470    -6.3896 -4.8869
     12  -5.6800  0.5854    -6.4884 -5.1838
     13  -5.7451  0.4964    -6.5027 -5.3414
     14  -5.9061  0.5753    -6.7428 -5.5124
     15  -6.1084  0.9240    -7.3380 -5.3804
     16  -6.1544  0.7510    -7.2775 -5.5589
     17  -6.0813  0.6219    -7.0017 -5.5619
     18  -5.9719  0.5892    -6.8018 -5.4828
     19  -5.9395  0.4963    -6.6755 -5.4907

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0587     0.0067  0.1898
      1   0.1015  0.0588     0.0066  0.1898
      2   0.1003  0.0592     0.0055  0.1896
      3   0.1002  0.0593     0.0052  0.1896
      4   0.0989  0.0594     0.0047  0.1893
      5   0.1022  0.0586     0.0066  0.1899
      6   0.0097  0.0102     0.0000  0.0265
      7   0.0115  0.0101     0.0000  0.0276
      8   0.0127  0.0099     0.0000  0.0287
      9   0.0143  0.0102     0.0001  0.0310
     10   0.0159  0.0105     0.0002  0.0328
     11   0.0174  0.0108     0.0007  0.0343
     12   0.0184  0.0112     0.0009  0.0363
     13   0.0198  0.0115     0.0013  0.0384
     14   0.0166  0.0096     0.0008  0.0317
     15   0.0102  0.0059     0.0001  0.0186
     16   0.0106  0.0057     0.0003  0.0187
     17   0.0114  0.0059     0.0005  0.0195
     18   0.0117  0.0060     0.0005  0.0198
     19   0.0124  0.0061     0.0007  0.0203

