Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0853  2.0430    -6.8516 -0.0565
      1  -1.5904  2.2379    -7.5823 -0.3259
      2  -2.9871  2.7440    -8.6133 -0.4548
      3  -4.8229  2.7086    -9.0378 -0.5612
      4  -4.9407  2.6896    -9.0562 -0.6142
      5  -5.1029  2.6549    -9.0791 -0.7008
      6  -5.2874  2.6033    -9.1024 -0.8229
      7  -5.4603  2.5422    -9.1219 -0.9569
      8  -6.4839  2.2062    -8.1709 -1.6782
      9  -6.7602  1.9718    -7.6049 -2.5487
     10  -7.3588  1.6879    -5.5421 -4.0177
     11  -7.5226  1.4526    -5.3265 -5.2867
     12  -6.7068  1.6021    -9.0925 -3.8943
     13  -7.0771  1.4336    -9.1737 -5.1204
     14  -6.5855  1.3588    -8.7824 -4.7082
     15  -6.6731  1.1897    -8.7661 -5.2571
     16  -6.2931  1.0559    -8.0241 -5.0357
     17  -6.6126  1.0766    -8.4080 -5.4530
     18  -6.8866  1.0819    -8.7011 -5.8090
     19  -6.6429  0.9753    -8.1755 -5.6840

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0850  0.0661     0.0000  0.1881
      1   0.0713  0.0669     0.0000  0.1857
      2   0.0148  0.0252     0.0000  0.0655
      3   0.0011  0.0025     0.0000  0.0048
      4   0.0019  0.0031     0.0000  0.0058
      5   0.0029  0.0035     0.0000  0.0063
      6   0.0040  0.0036     0.0000  0.0065
      7   0.0051  0.0034     0.0000  0.0067
      8   0.0053  0.0033     0.0000  0.0067
      9   0.0061  0.0028     0.0000  0.0068
     10   0.0064  0.0026     0.0000  0.0068
     11   0.0068  0.0021     0.0001  0.0068
     12   0.0063  0.0024     0.0000  0.0067
     13   0.0066  0.0022     0.0001  0.0068
     14   0.0065  0.0024     0.0001  0.0068
     15   0.0068  0.0020     0.0001  0.0068
     16   0.0069  0.0021     0.0001  0.0069
     17   0.0068  0.0020     0.0001  0.0069
     18   0.0068  0.0020     0.0001  0.0068
     19   0.0069  0.0020     0.0001  0.0069

